Team Game #,Date,Plate Appearances,At Bats,Hits,Home Runs,RBI,Walks,Strikeouts
1,Apr 6,4,4,0,0,0,0,1
2,Apr 7,4,4,2,0,0,0,0
3,Apr 8,4,3,0,0,0,0,0
4,Apr 9,5,5,0,0,0,0,0
5,Apr 10,4,4,1,0,0,0,1
6,Apr 11,4,4,1,0,2,0,1
7,Apr 12,7,7,1,0,0,0,1
8,Apr 13,4,3,0,0,1,0,0
9,Apr 14,4,4,2,1,1,0,0
10,Apr 15,4,4,0,0,0,0,1
11,Apr 17,4,4,1,0,0,0,2
12,Apr 18,4,3,0,0,1,0,2
13,Apr 19,6,6,2,0,0,0,0
14,Apr 21,5,5,2,0,1,0,0
15,Apr 22,5,4,0,0,0,1,0
16,Apr 24,4,4,1,0,0,0,1
17,Apr 25,4,4,2,0,0,0,0
18,Apr 26,6,4,1,0,0,2,0
19,Apr 27,4,4,2,0,0,0,0
20,Apr 28,4,4,1,0,0,0,1
21,Apr 29,3,3,1,0,0,0,0
22,May 1,5,5,1,0,0,0,1
23,May 2,5,4,1,0,0,1,1
24,May 3,5,2,0,0,0,3,0
25,May 4,4,3,1,0,0,1,1
26,May 5,4,3,2,0,0,1,1
27,May 6,5,4,0,0,0,1,0
28,May 7,5,5,1,0,2,0,1
29,May 8,4,4,1,0,0,0,0
30,May 9,5,5,1,0,0,0,1
31,May 10,5,4,0,0,0,1,1
32,May 11,5,4,1,0,0,1,2
33,May 12,5,3,2,0,0,1,0
34,May 13,4,3,0,0,0,1,1
35,May 14,5,3,0,0,1,0,0
36,May 15,5,4,1,0,0,1,2
37,May 16,4,3,2,0,1,1,0
38,May 17,3,3,1,0,0,0,0
39,May 19,5,5,0,0,0,0,0
40,May 20,4,3,1,0,1,0,1
41,May 21,4,4,0,0,0,0,1
42,May 22,5,5,2,0,0,0,1
43,May 23,5,4,2,0,3,0,1
44,May 24,4,4,0,0,0,0,0
45,May 25,4,4,2,1,3,0,1
46,May 26,4,4,3,0,0,0,0
47,May 27,2,2,0,0,0,0,2
48,May 28,4,3,0,0,0,1,1
50,May 30,5,5,1,0,1,0,0
51,May 31,4,4,0,0,0,0,0
52,Jun 2,5,3,2,0,1,2,0
53,Jun 3,4,3,0,0,0,1,1
54,Jun 4,5,4,0,0,0,1,2
55,Jun 5,4,3,2,0,0,1,0
56,Jun 6,4,2,0,0,1,1,0
57,Jun 7,4,4,1,0,0,0,0
58,Jun 9,4,4,1,0,0,0,1
59,Jun 10,4,4,0,0,0,0,1
60,Jun 11,3,3,1,0,0,0,0
61,Jun 12,4,4,2,1,4,0,1
62,Jun 13,4,4,1,0,0,0,0
63,Jun 14,4,4,1,0,0,0,0
64,Jun 15,4,3,0,0,0,0,2
65,Jun 16,4,4,2,0,0,0,0
66,Jun 17,4,4,0,0,0,0,1
67,Jun 18,3,3,1,0,0,0,1
68,Jun 19,4,4,1,0,0,0,1
69,Jun 20,4,3,0,0,0,1,0
71,Jun 23,5,5,3,0,2,0,1
72,Jun 24,4,4,2,0,0,0,0
73,Jun 25,4,4,0,0,0,0,1
74,Jun 26,4,3,1,0,0,1,1
75,Jun 27,4,4,1,0,0,0,0
76,Jun 28,4,4,3,0,1,0,1
77,Jun 29,4,4,0,0,0,0,0
78,Jun 30,4,4,1,0,0,0,0
79,Jul 1,4,4,0,0,0,0,0
80,Jul 2,4,3,0,0,0,0,1
81,Jul 3,2,2,0,0,0,0,0
82,Jul 4,4,4,0,0,0,0,0
83,Jul 5,4,4,1,0,1,0,0
84,Jul 7,3,3,1,0,0,0,0
85,Jul 8,4,2,0,0,0,2,0
86,Jul 10,3,3,1,0,0,0,1
87,Jul 11,4,4,1,0,1,0,2
88,Jul 12,4,2,2,0,0,2,0
89,Jul 17,4,4,2,0,1,0,1
90,Jul 18,5,4,1,0,0,0,0
91,Jul 19,3,3,0,0,0,0,1
92,Jul 20,4,4,1,0,0,0,0
93,Jul 21,5,5,2,0,0,0,0
94,Jul 22,5,4,1,0,3,0,0
95,Jul 24,4,4,2,0,0,0,0
96,Jul 25,5,5,1,0,0,0,1
97,Jul 26,5,5,2,0,1,0,0
98,Jul 27,4,3,1,0,1,0,0
99,Jul 28,4,4,1,0,1,0,2
100,Jul 29,4,4,0,0,0,0,2
101,Jul 30,5,5,3,0,0,0,1
102,Jul 31,4,4,2,1,2,0,1
103,Aug 1,5,4,2,0,0,1,0
104,Aug 2,3,3,0,0,0,0,1
105,Aug 3,5,5,2,0,0,0,0
106,Aug 4,4,4,1,0,0,0,1
107,Aug 5,4,4,1,0,1,0,0
108,Aug 7,4,3,0,0,0,0,0
109,Aug 8,5,5,1,0,0,0,2
110,Aug 9,4,4,1,0,0,0,0
111,Aug 11,4,4,2,1,2,0,0
112,Aug 12,3,3,0,0,0,0,1
113,Aug 13,4,3,0,0,1,0,0
114,Aug 14,4,3,1,0,1,1,1
115,Aug 15,4,4,1,0,0,0,1
116,Aug 16,4,4,1,0,0,0,0
117,Aug 17,4,4,1,0,0,0,0
118,Aug 18,3,3,0,0,0,0,0
119,Aug 19,4,4,2,1,3,0,0
120,Aug 20,3,3,0,0,0,0,1
121,Aug 21,3,3,2,0,0,0,1
122,Aug 22,4,4,1,0,1,0,1
123,Aug 23,2,2,1,0,0,0,0
124,Aug 25,4,4,2,0,0,0,0
125,Aug 26,4,3,0,0,0,1,0
126,Aug 27,4,4,2,0,0,0,0
127,Aug 28,3,3,0,0,0,0,0
128,Aug 29,4,4,1,0,0,0,1
129,Aug 30,4,3,2,0,1,1,0
130,Aug 31,3,3,2,0,0,0,0
131,Sep 1,5,4,1,0,2,0,0
132,Sep 2,5,4,1,0,0,1,2
133,Sep 4,4,2,1,0,0,2,0
134,Sep 5,4,4,2,0,0,0,0
135,Sep 6,3,3,0,0,0,0,0
136,Sep 7,4,4,0,0,0,0,0
137,Sep 8,5,5,0,0,1,0,0
138,Sep 9,3,2,0,0,0,0,0
