Team Game #,Date,Plate Appearances,At Bats,Hits,Home Runs,RBI,Walks,Strikeouts
1,Apr 6,3,3,0,0,0,0,0
2,Apr 7,4,4,1,0,0,0,1
4,Apr 9,5,3,1,1,3,1,0
5,Apr 10,4,4,0,0,0,0,0
6,Apr 11,4,3,2,0,0,0,0
7,Apr 12,4,2,0,0,0,0,2
8,Apr 13,4,4,1,0,1,0,1
9,Apr 14,5,3,1,0,1,2,2
10,Apr 15,1,1,1,0,0,0,0
13,Apr 19,2,2,1,0,1,0,0
14,Apr 21,1,1,1,0,0,0,0
15,Apr 22,1,1,0,0,0,0,0
16,Apr 24,4,3,0,0,1,1,1
17,Apr 25,4,3,1,0,0,1,1
18,Apr 26,6,5,3,0,2,0,1
19,Apr 27,4,4,1,0,0,0,1
34,May 13,4,3,2,0,0,1,0
35,May 14,4,4,0,0,0,0,0
36,May 15,4,4,0,0,0,0,3
37,May 16,5,5,1,0,1,0,0
38,May 17,4,4,2,1,2,0,0
39,May 19,4,3,1,0,0,1,1
40,May 20,4,4,1,0,0,0,2
41,May 21,4,4,3,1,2,0,0
42,May 22,5,4,2,1,1,1,0
43,May 23,5,5,1,0,0,0,1
44,May 24,4,4,1,0,0,0,0
45,May 25,4,4,1,0,2,0,1
46,May 26,4,4,1,1,1,0,1
47,May 27,4,4,1,0,0,0,0
48,May 28,4,4,0,0,0,0,3
49,May 29,4,4,2,0,0,0,1
51,May 31,4,4,0,0,0,0,1
52,Jun 2,5,4,2,0,0,1,2
53,Jun 3,4,3,0,0,1,1,1
54,Jun 4,5,5,1,0,0,0,2
55,Jun 5,4,3,2,1,1,1,0
56,Jun 6,5,4,2,0,1,1,1
57,Jun 7,4,4,2,0,0,0,0
58,Jun 9,4,4,1,1,1,0,2
59,Jun 10,5,5,2,0,2,0,1
61,Jun 12,4,4,1,0,2,0,2
62,Jun 13,5,5,2,1,4,0,1
63,Jun 14,4,4,1,0,0,0,1
64,Jun 15,4,4,1,0,1,0,2
65,Jun 16,4,3,1,0,0,1,0
67,Jun 18,4,4,0,0,0,0,3
68,Jun 19,1,1,1,0,2,0,0
69,Jun 20,4,4,1,0,0,0,2
70,Jun 21,5,5,0,0,0,0,0
71,Jun 23,5,5,1,0,0,0,1
72,Jun 24,3,3,1,0,0,0,1
73,Jun 25,4,4,3,1,2,0,0
74,Jun 26,4,4,2,0,0,0,0
75,Jun 27,4,4,1,1,1,0,1
76,Jun 28,5,5,0,0,0,0,2
77,Jun 29,5,5,2,2,3,0,2
78,Jun 30,4,3,2,2,4,1,0
79,Jul 1,4,4,0,0,0,0,2
80,Jul 2,5,5,1,0,0,0,1
81,Jul 3,3,3,1,0,0,0,1
82,Jul 4,4,4,0,0,0,0,0
83,Jul 5,4,4,1,0,1,0,1
84,Jul 7,4,4,1,0,0,0,0
85,Jul 8,5,5,1,0,0,0,1
86,Jul 10,4,4,0,0,0,0,2
87,Jul 11,4,3,2,2,2,1,0
88,Jul 12,4,3,0,0,0,1,1
89,Jul 17,4,4,3,0,0,0,1
90,Jul 18,5,5,0,0,0,0,2
94,Jul 22,5,5,1,0,3,0,1
95,Jul 24,4,4,0,0,0,0,1
96,Jul 25,2,2,1,0,0,0,1
97,Jul 26,5,5,2,0,2,0,0
98,Jul 27,4,2,1,0,0,2,0
99,Jul 28,3,2,0,0,0,1,1
100,Jul 29,4,3,1,0,0,1,2
101,Jul 30,1,1,0,0,0,0,1
103,Aug 1,5,4,1,0,3,0,0
104,Aug 2,4,3,1,0,0,1,1
105,Aug 3,5,5,2,0,2,0,2
106,Aug 4,4,2,0,0,0,2,0
107,Aug 5,4,4,2,0,1,0,1
108,Aug 7,4,4,2,0,0,0,0
109,Aug 8,2,2,2,0,0,0,0
110,Aug 9,4,4,1,0,0,0,1
111,Aug 11,4,4,0,0,0,0,2
112,Aug 12,4,4,0,0,0,0,2
113,Aug 13,4,4,4,1,4,0,0
114,Aug 14,4,4,1,0,0,0,0
115,Aug 15,4,3,2,0,0,1,0
117,Aug 17,4,4,0,0,0,0,1
118,Aug 18,4,3,0,0,0,1,1
119,Aug 19,5,5,2,1,3,0,1
120,Aug 20,3,3,0,0,0,0,0
121,Aug 21,4,4,0,0,0,0,1
123,Aug 23,4,4,1,0,2,0,0
124,Aug 25,4,4,1,0,0,0,1
126,Aug 27,4,4,1,0,1,0,0
127,Aug 28,4,4,1,0,0,0,2
128,Aug 29,4,3,1,0,0,1,1
129,Aug 30,4,4,1,0,0,0,0
130,Aug 31,1,1,0,0,0,0,0
131,Sep 1,1,1,0,0,0,0,0
132,Sep 2,2,2,1,0,1,0,1
133,Sep 4,4,3,1,0,0,0,0
134,Sep 5,4,3,2,0,0,0,0
136,Sep 7,1,1,0,0,0,0,1
137,Sep 8,5,5,1,1,1,0,0
139,Sep 10,4,4,2,0,0,0,2
140,Sep 11,4,4,1,0,2,0,1
142,Sep 13,3,3,0,0,0,0,1
143,Sep 14,4,4,2,1,2,0,1
144,Sep 15,5,3,0,0,1,0,0
145,Sep 16,5,5,0,0,0,0,0
146,Sep 17,4,4,1,1,3,0,2
147,Sep 18,4,3,0,0,0,0,3
148,Sep 19,5,5,1,0,1,0,1
149,Sep 20,4,3,1,1,1,1,1
150,Sep 22,5,4,3,1,2,1,0
151,Sep 23,4,4,1,0,1,0,1
152,Sep 24,5,3,1,0,0,2,2
153,Sep 25,5,5,1,0,0,0,2
154,Sep 26,5,5,1,0,2,0,1
155,Sep 27,3,3,0,0,0,0,1
156,Sep 28,4,4,1,0,0,0,2
157,Sep 29,4,4,1,0,0,0,1
158,Sep 30,4,3,1,0,0,1,0
159,Oct 1,1,1,0,0,0,0,0
160,Oct 2,4,4,0,0,0,0,0
161,Oct 3,1,0,0,0,0,1,0
162,Oct 4,4,3,1,0,1,0,1
