Team Game #,Date,Plate Appearances,At Bats,Hits,Home Runs,RBI,Walks,Strikeouts
1,Apr 4,4,3,0,0,0,1,1
2,Apr 5,4,3,0,0,0,1,1
3,Apr 6,4,4,1,0,0,0,2
4,Apr 7,4,4,0,0,0,0,0
5,Apr 8,5,4,1,1,2,1,1
6,Apr 9,4,4,1,0,1,0,1
7,Apr 10,1,1,0,0,0,0,0
8,Apr 11,5,5,2,0,3,0,1
9,Apr 12,4,4,1,0,0,0,1
10,Apr 13,4,4,0,0,0,0,0
11,Apr 14,4,4,2,0,2,0,2
12,Apr 15,4,4,1,0,0,0,0
13,Apr 16,4,4,2,0,2,0,0
14,Apr 19,4,4,2,0,1,0,0
15,Apr 20,4,4,1,1,2,0,0
16,Apr 21,1,1,0,0,0,0,1
17,Apr 22,3,3,0,0,0,0,1
18,Apr 23,4,4,2,0,0,0,1
19,Apr 24,5,5,1,0,0,0,2
20,Apr 25,4,4,0,0,0,0,0
21,Apr 26,5,4,1,1,1,0,0
22,Apr 27,3,2,1,0,0,1,0
23,Apr 29,4,3,1,0,0,1,0
24,Apr 30,5,5,3,0,0,0,1
25,May 1,5,5,3,0,0,0,0
26,May 2,4,4,0,0,0,0,1
27,May 3,5,5,2,1,1,0,1
28,May 4,5,5,2,0,1,0,0
29,May 5,4,4,0,0,0,0,2
30,May 6,5,5,3,1,3,0,0
31,May 7,5,5,2,1,1,0,1
32,May 8,5,5,2,0,0,0,1
33,May 9,6,6,2,1,1,0,0
34,May 10,5,5,3,0,0,0,1
35,May 11,5,5,0,0,0,0,0
36,May 13,4,4,1,0,0,0,0
37,May 14,5,5,0,0,0,0,1
38,May 15,4,4,1,0,0,0,3
39,May 16,4,4,0,0,0,0,0
40,May 17,5,5,2,0,0,0,0
41,May 18,4,4,0,0,0,0,0
42,May 20,4,4,1,0,0,0,2
43,May 21,4,4,1,0,1,0,2
45,May 23,4,4,0,0,0,0,0
46,May 24,4,4,0,0,0,0,1
47,May 25,6,4,1,0,3,0,0
55,Jun 4,5,4,2,0,0,1,1
56,Jun 5,3,3,1,0,0,0,0
57,Jun 6,5,4,2,1,3,0,0
58,Jun 7,4,4,0,0,0,0,2
59,Jun 8,5,5,1,0,0,0,2
60,Jun 9,4,4,1,1,1,0,1
61,Jun 10,4,4,0,0,0,0,1
62,Jun 11,5,5,3,1,1,0,1
63,Jun 12,5,5,0,0,0,0,4
64,Jun 13,4,4,1,0,0,0,1
65,Jun 14,5,4,1,0,0,1,0
66,Jun 15,4,4,2,2,3,0,1
67,Jun 16,5,5,2,0,0,0,2
68,Jun 17,4,4,1,1,1,0,1
69,Jun 18,4,4,2,0,0,0,0
70,Jun 19,4,4,2,0,0,0,1
71,Jun 20,4,4,0,0,0,0,2
72,Jun 21,1,1,0,0,0,0,0
73,Jun 22,4,3,1,0,0,0,1
74,Jun 24,5,5,1,0,0,0,2
75,Jun 25,5,4,1,0,1,0,1
76,Jun 26,4,4,2,0,1,0,1
77,Jun 27,5,5,1,1,1,0,0
78,Jun 28,4,4,1,0,1,0,0
79,Jun 29,4,4,1,1,1,0,0
80,Jun 30,4,4,0,0,0,0,3
81,Jul 1,5,5,0,0,0,0,3
82,Jul 2,4,4,1,0,0,0,0
83,Jul 3,4,4,1,0,0,0,2
84,Jul 4,4,4,3,1,3,0,0
85,Jul 5,4,4,2,0,1,0,0
86,Jul 6,5,5,0,0,0,0,2
87,Jul 7,4,4,2,0,0,0,1
88,Jul 8,4,4,3,0,1,0,0
89,Jul 9,5,5,1,0,2,0,1
90,Jul 10,4,3,1,0,0,1,1
91,Jul 15,4,4,1,0,0,0,1
92,Jul 16,4,4,0,0,0,0,1
93,Jul 17,4,4,0,0,0,0,1
94,Jul 18,4,4,2,1,2,0,1
95,Jul 19,5,5,3,0,0,0,1
96,Jul 20,5,5,0,0,0,0,1
97,Jul 22,4,4,1,1,1,0,1
98,Jul 23,4,4,1,0,0,0,3
99,Jul 24,4,3,3,0,0,1,0
100,Jul 25,4,4,2,0,2,0,1
101,Jul 26,4,4,1,0,0,0,2
102,Jul 27,4,4,0,0,0,0,1
103,Jul 28,3,3,1,1,1,0,1
104,Jul 29,4,4,3,2,2,0,0
105,Jul 30,4,4,0,0,0,0,0
106,Jul 31,4,4,1,0,0,0,2
107,Aug 2,4,4,0,0,0,0,1
108,Aug 3,4,3,2,0,0,1,0
109,Aug 4,4,4,1,0,1,0,1
110,Aug 5,4,4,0,0,0,0,1
111,Aug 6,4,4,1,0,0,0,1
112,Aug 7,6,6,3,0,1,0,1
113,Aug 8,4,4,1,0,0,0,0
114,Aug 9,5,5,2,0,1,0,0
115,Aug 10,5,4,1,0,0,1,0
116,Aug 11,5,5,2,1,3,0,1
117,Aug 12,4,4,1,0,0,0,2
118,Aug 13,4,4,0,0,0,0,1
119,Aug 14,3,3,0,0,0,0,2
120,Aug 15,4,4,2,0,0,0,0
121,Aug 16,5,3,0,0,1,1,1
123,Aug 19,5,5,0,0,0,0,1
124,Aug 20,4,4,1,1,1,0,0
125,Aug 21,4,4,1,0,0,0,1
126,Aug 23,4,4,1,0,0,0,2
127,Aug 24,4,4,1,0,0,0,0
128,Aug 25,4,4,1,1,1,0,2
129,Aug 26,4,3,1,0,0,1,1
130,Aug 27,4,4,1,0,1,0,2
131,Aug 28,4,4,0,0,0,0,3
132,Aug 29,4,3,0,0,1,0,0
133,Aug 30,5,5,3,1,2,0,0
134,Aug 31,5,5,3,2,5,0,1
135,Sep 2,5,4,2,1,2,1,0
136,Sep 3,5,5,1,0,2,0,2
137,Sep 4,5,5,3,1,3,0,2
138,Sep 5,4,4,3,1,2,0,0
139,Sep 6,6,6,2,0,0,0,0
140,Sep 7,4,3,0,0,0,1,1
141,Sep 8,4,4,1,0,1,0,1
142,Sep 9,4,3,0,0,0,1,0
144,Sep 11,4,4,0,0,0,0,2
145,Sep 12,5,4,3,1,3,1,0
146,Sep 13,4,4,1,0,0,0,2
147,Sep 14,4,4,0,0,0,0,2
148,Sep 16,5,5,2,0,0,0,1
149,Sep 17,3,3,1,0,0,0,1
150,Sep 18,4,4,0,0,0,0,2
151,Sep 19,4,3,1,0,0,1,0
152,Sep 20,4,4,0,0,0,0,2
153,Sep 21,4,3,0,0,0,1,1
154,Sep 23,4,4,0,0,0,0,0
156,Sep 25,3,3,0,0,0,0,1
157,Sep 26,4,4,0,0,0,0,1
158,Sep 27,4,4,0,0,0,0,1
159,Sep 28,4,4,2,1,2,0,1
160,Sep 30,4,4,2,1,1,0,0
161,Oct 1,2,2,0,0,0,0,0
