plyrId,avgPick,draftCnt,totDrafts,pprFlg,year
9988,1.60,3381,3373,1,2016
11679,3.07,3382,3373,1,2016
10271,4.00,3379,3373,1,2016
12150,5.93,3324,3373,1,2016
11232,7.72,3380,3373,1,2016
12171,8.48,3325,3373,1,2016
12625,9.25,3383,3373,1,2016
10261,9.28,3333,3373,1,2016
11192,12.26,3386,3373,1,2016
11678,12.47,3320,3373,1,2016
9902,12.53,3333,3373,1,2016
9823,14.48,3386,3373,1,2016
8658,14.69,3331,3373,1,2016
10708,15.23,3383,3373,1,2016
11222,19.11,3325,3373,1,2016
11671,19.28,3330,3373,1,2016
11660,19.30,3384,3373,1,2016
12175,21.15,3381,3373,1,2016
9118,22.34,3380,3373,1,2016
10273,23.07,3292,3373,1,2016
8360,23.92,3334,3373,1,2016
10722,24.29,3334,3373,1,2016
11674,25.46,3331,3373,1,2016
9054,28.36,3327,3373,1,2016
10729,28.55,3336,3373,1,2016
7836,29.06,3340,3373,1,2016
11201,29.06,3334,3373,1,2016
10276,29.32,3336,3373,1,2016
11670,29.95,3330,3373,1,2016
9884,32.12,3335,3373,1,2016
11680,32.91,3387,3373,1,2016
10709,33.05,3330,3373,1,2016
9448,33.20,3337,3373,1,2016
10308,36.67,3387,3373,1,2016
11248,38.45,3335,3373,1,2016
10695,40.67,3293,3373,1,2016
11454,40.95,3334,3373,1,2016
11673,41.69,3331,3373,1,2016
10703,42.32,3342,3373,1,2016
9662,44.20,3388,3373,1,2016
12169,44.92,3386,3373,1,2016
11657,46.07,3336,3373,1,2016
11677,46.60,3337,3373,1,2016
9831,47.35,3388,3373,1,2016
9436,47.94,3382,3373,1,2016
11390,48.64,3391,3373,1,2016
8687,49.70,3333,3373,1,2016
10527,50.76,3385,3373,1,2016
9122,50.99,3333,3373,1,2016
10302,54.23,3338,3373,1,2016
9881,57.13,3325,3373,1,2016
10721,58.51,3379,3373,1,2016
10272,58.98,211,3373,1,2016
11244,59.32,3381,3373,1,2016
4925,60.25,3295,3373,1,2016
11676,61.50,3321,3373,1,2016
7401,63.68,3342,3373,1,2016
11654,64.01,3334,3373,1,2016
12156,64.09,3324,3373,1,2016
7393,64.73,3332,3373,1,2016
10773,65.83,217,3373,1,2016
12151,69.17,3335,3373,1,2016
12157,71.05,3325,3373,1,2016
9918,71.13,3330,3373,1,2016
5848,72.69,3339,3373,1,2016
11925,72.82,3325,3373,1,2016
12187,73.07,3327,3373,1,2016
8416,73.36,3325,3373,1,2016
11193,73.68,3329,3373,1,2016
11783,75.67,3318,3373,1,2016
9101,75.84,3336,3373,1,2016
10743,77.15,3312,3373,1,2016
9851,77.33,3324,3373,1,2016
12176,78.10,3324,3373,1,2016
12162,78.22,3307,3373,1,2016
9693,78.26,3319,3373,1,2016
10768,80.42,214,3373,1,2016
10738,80.87,3356,3373,1,2016
10960,81.23,3311,3373,1,2016
11642,81.39,3292,3373,1,2016
9427,84.28,3375,3373,1,2016
12177,84.39,3288,3373,1,2016
