plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank
9448,2.33,3377,3366,1,2014,LeSean,McCoy,RB,PHI,1.0
9054,2.87,3376,3366,1,2014,Jamaal,Charles,RB,KCC,2.0
8658,4.77,3374,3366,1,2014,Adrian,Peterson,RB,MIN,3.0
8657,5.28,3378,3366,1,2014,Calvin,Johnson,WR,DET,4.0
9122,6.27,3380,3366,1,2014,Matt,Forte,RB,CHI,5.0
9884,8.29,3371,3366,1,2014,Demaryius,Thomas,WR,DEN,6.0
11201,8.41,3366,3366,1,2014,Eddie,Lacy,RB,GBP,7.0
9925,9.21,3378,3366,1,2014,Jimmy,Graham,TE,NOS,8.0
9823,10.84,3382,3366,1,2014,Dez,Bryant,WR,DAL,9.0
10261,11.57,3378,3366,1,2014,A.J.,Green,WR,CIN,10.0
3291,13.42,3328,3366,1,2014,Peyton,Manning,QB,DEN,11.0
10271,14.52,3378,3366,1,2014,Julio,Jones,WR,ATL,12.0
8360,15.28,3387,3366,1,2014,Brandon,Marshall,WR,CHI,13.0
11174,17.03,3382,3366,1,2014,Montee,Ball,RB,DEN,14.0
8670,17.27,3386,3366,1,2014,Marshawn,Lynch,RB,SEA,15.0
10302,17.96,3388,3366,1,2014,DeMarco,Murray,RB,DAL,16.0
7836,18.05,3340,3366,1,2014,Aaron,Rodgers,QB,GBP,17.0
11193,19.5,3377,3366,1,2014,Giovani,Bernard,RB,CIN,18.0
4925,20.2,3339,3366,1,2014,Drew,Brees,QB,NOS,19.0
9988,20.81,3383,3366,1,2014,Antonio,Brown,WR,PIT,20.0
9118,21.71,3383,3366,1,2014,Jordy,Nelson,WR,GBP,21.0
10722,22.34,3371,3366,1,2014,Alshon,Jeffery,WR,CHI,22.0
11192,25.02,3371,3366,1,2014,Le'Veon,Bell,RB,PIT,23.0
10709,25.9,3387,3366,1,2014,Doug,Martin,RB,TBB,24.0
10308,26.1,3395,3366,1,2014,Randall,Cobb,WR,GBP,25.0
9690,26.53,3391,3366,1,2014,Arian,Foster,RB,HOU,26.0
9902,28.1,3389,3366,1,2014,Rob,Gronkowski,TE,NEP,27.0
10372,28.33,3390,3366,1,2014,Julius,Thomas,TE,DEN,28.0
11175,32.11,3397,3366,1,2014,Andre,Ellington,RB,ARI,29.0
