plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank
9448,2.83,821,848,0,2014,LeSean,McCoy,RB,PHI,1.0
9054,3.76,822,848,0,2014,Jamaal,Charles,RB,KCC,2.0
8658,4.11,819,848,0,2014,Adrian,Peterson,RB,MIN,3.0
9122,7.13,825,848,0,2014,Matt,Forte,RB,CHI,4.0
3291,7.17,806,848,0,2014,Peyton,Manning,QB,DEN,5.0
8657,7.46,825,848,0,2014,Calvin,Johnson,WR,DET,6.0
11201,8.12,816,848,0,2014,Eddie,Lacy,RB,GBP,7.0
9884,10.59,819,848,0,2014,Demaryius,Thomas,WR,DEN,8.0
7836,11.52,800,848,0,2014,Aaron,Rodgers,QB,GBP,9.0
9925,11.87,823,848,0,2014,Jimmy,Graham,TE,NOS,10.0
8670,11.91,824,848,0,2014,Marshawn,Lynch,RB,SEA,11.0
4925,12.37,805,848,0,2014,Drew,Brees,QB,NOS,12.0
9823,15.11,824,848,0,2014,Dez,Bryant,WR,DAL,13.0
10261,15.16,823,848,0,2014,A.J.,Green,WR,CIN,14.0
11174,16.73,823,848,0,2014,Montee,Ball,RB,DEN,15.0
10302,18.1,826,848,0,2014,DeMarco,Murray,RB,DAL,16.0
10271,18.53,826,848,0,2014,Julio,Jones,WR,ATL,17.0
8360,19.41,826,848,0,2014,Brandon,Marshall,WR,CHI,18.0
11193,21.61,817,848,0,2014,Giovani,Bernard,RB,CIN,19.0
9690,23.88,830,848,0,2014,Arian,Foster,RB,HOU,20.0
9118,23.98,825,848,0,2014,Jordy,Nelson,WR,GBP,21.0
10709,24.05,833,848,0,2014,Doug,Martin,RB,TBB,22.0
10722,27.08,827,848,0,2014,Alshon,Jeffery,WR,CHI,23.0
9988,27.65,826,848,0,2014,Antonio,Brown,WR,PIT,24.0
11192,28.05,823,848,0,2014,Le'Veon,Bell,RB,PIT,25.0
10870,29.24,826,848,0,2014,Alfred,Morris,RB,WAS,26.0
10372,30.51,829,848,0,2014,Julius,Thomas,TE,DEN,27.0
10308,31.3,829,848,0,2014,Randall,Cobb,WR,GBP,28.0
10695,31.43,807,848,0,2014,Andrew,Luck,QB,IND,29.0
9431,31.89,806,848,0,2014,Matthew,Stafford,QB,DET,30.0
11189,31.93,830,848,0,2014,Zac,Stacy,RB,STL,31.0
9902,32.77,831,848,0,2014,Rob,Gronkowski,TE,NEP,32.0
11175,34.66,834,848,0,2014,Andre,Ellington,RB,ARI,33.0
11222,37.38,834,848,0,2014,Keenan,Allen,WR,SDC,34.0
8243,38.08,833,848,0,2014,Reggie,Bush,RB,DET,35.0
7873,43.8,835,848,0,2014,Vincent,Jackson,WR,TBB,36.0
7393,43.87,836,848,0,2014,Larry,Fitzgerald,WR,ARI,37.0
9822,43.92,831,848,0,2014,C.J.,Spiller,RB,BUF,38.0
6931,45.38,841,848,0,2014,Andre,Johnson,WR,HOU,39.0
10080,45.7,837,848,0,2014,Victor,Cruz,WR,NYG,40.0
9250,46.84,833,848,0,2014,Pierre,Garcon,WR,WAS,41.0
9851,47.89,828,848,0,2014,Ryan,Mathews,RB,SDC,42.0
11225,48.8,833,848,0,2014,Cordarrelle,Patterson,WR,MIN,43.0
5848,49.29,812,848,0,2014,Tom,Brady,QB,NEP,44.0
10699,49.43,817,848,0,2014,Nick,Foles,QB,PHI,45.0
7839,50.24,834,848,0,2014,Roddy,White,WR,ATL,46.0
9427,53.1,830,848,0,2014,Michael,Crabtree,WR,SFO,47.0
9880,53.12,835,848,0,2014,Toby,Gerhart,RB,JAC,48.0
7877,53.54,831,848,0,2014,Frank,Gore,RB,SFO,49.0
9441,53.62,833,848,0,2014,Percy,Harvin,WR,NYJ,50.0
10303,55.84,828,848,0,2014,Shane,Vereen,RB,NEP,51.0
9075,56.16,828,848,0,2014,DeSean,Jackson,WR,WAS,52.0
9680,57.06,831,848,0,2014,Rashad,Jennings,RB,NYG,53.0
8247,57.33,831,848,0,2014,Vernon,Davis,TE,SFO,54.0
10721,59.05,831,848,0,2014,Michael,Floyd,WR,ARI,55.0
9094,60.55,834,848,0,2014,Ray,Rice,RB,FA*,56.0
10729,60.93,833,848,0,2014,T.Y.,Hilton,WR,IND,57.0
9907,60.98,828,848,0,2014,Ben,Tate,RB,PIT,58.0
9099,61.26,817,848,0,2014,Matt,Ryan,QB,ATL,59.0
9078,62.26,829,848,0,2014,Chris,Johnson,RB,NYJ,60.0
10273,63.59,809,848,0,2014,Cam,Newton,QB,CAR,61.0
10352,64.68,818,848,0,2014,Jordan,Cameron,TE,CLE,62.0
11653,64.7,840,848,0,2014,Bishop,Sankey,RB,TEN,63.0
10289,67.63,826,848,0,2014,Torrey,Smith,WR,BAL,64.0
10706,67.63,825,848,0,2014,Trent,Richardson,RB,IND,65.0
7653,67.74,827,848,0,2014,Wes,Welker,WR,DEN,66.0
9662,69.49,837,848,0,2014,Julian,Edelman,WR,NEP,67.0
9918,70.55,834,848,0,2014,Emmanuel,Sanders,WR,DEN,68.0
10048,70.59,822,848,0,2014,Joique,Bell,RB,DET,69.0
9436,71.45,830,848,0,2014,Jeremy,Maclin,WR,PHI,70.0
6997,74.67,815,848,0,2014,Jason,Witten,TE,DAL,71.0
8493,77.35,830,848,0,2014,Marques,Colston,WR,NOS,72.0
10297,77.97,814,848,0,2014,Colin,Kaepernick,QB,SFO,73.0
10703,80.22,810,848,0,2014,Russell,Wilson,QB,SEA,74.0
8252,80.34,814,848,0,2014,Jay,Cutler,QB,CHI,75.0
9525,81.62,819,848,0,2014,Mike,Wallace,WR,MIA,76.0
11670,84.15,825,848,0,2014,Sammy,Watkins,WR,BUF,77.0
8301,85.36,821,848,0,2014,Maurice,Jones-Drew,RB,OAK,78.0
9881,86.23,817,848,0,2014,Eric,Decker,WR,NYJ,79.0
10696,86.52,807,848,0,2014,Robert,Griffin III,QB,WAS,80.0
7260,87.81,814,848,0,2014,Tony,Romo,QB,DAL,81.0
