adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
9988,0,0,0,0,0,9,0,12,1284,0,106,0,0,0,0,307.3,14.0
11679,0,0,0,0,0,9,0,10,1367,0,101,0,0,0,1,296.6,21.0
10271,0,0,0,0,0,0,0,6,1409,0,83,0,0,0,0,259.9,35.0
12150,0,0,0,0,6,885,0,0,327,0,43,0,0,0,1,198.2,73.0
11232,0,0,0,0,0,0,0,4,954,0,78,0,0,0,0,197.4,75.0
12171,0,0,0,0,16,1239,0,4,879,1,80,0,0,0,3,407.8,1.0
12625,0,0,0,0,15,1631,0,1,363,0,32,0,0,0,1,325.4,9.0
10261,0,0,0,0,0,0,0,4,964,0,66,0,0,0,0,186.4,90.0
11192,0,0,0,0,7,1268,0,2,616,1,75,0,0,0,1,317.4,11.0
11678,0,0,0,0,0,0,0,6,883,1,73,0,0,0,0,199.3,72.0
9902,0,0,0,0,0,0,0,3,540,0,25,0,0,0,0,97.0,171.0
9823,1,10,0,0,0,0,0,8,796,0,50,0,0,0,1,180.0,97.0
8658,0,0,0,0,0,72,0,0,8,0,3,0,0,0,1,9.0,265.0
10708,0,0,0,0,5,1073,0,1,188,0,31,0,0,0,1,191.1,85.0
11222,0,0,0,0,0,0,0,0,63,0,6,0,0,0,0,12.3,261.0
11671,0,0,0,0,0,0,0,12,1321,2,96,0,0,0,0,304.1,17.0
11660,0,0,0,0,11,1079,0,2,462,0,54,0,0,0,1,284.1,30.0
12175,0,0,0,0,0,0,0,5,1149,2,82,0,0,0,0,230.9,51.0
9118,0,0,0,0,0,0,0,14,1257,0,97,0,0,0,1,304.7,16.0
10273,19,3509,14,1,5,359,1,0,0,0,0,0,0,0,2,306.26,15.0
8360,0,0,0,0,0,0,0,3,787,0,60,0,0,0,0,156.7,114.0
10722,0,0,0,0,0,0,0,2,821,0,52,0,0,0,0,146.1,125.0
11674,0,0,0,0,0,30,0,8,1173,0,78,0,0,0,0,246.3,42.0
9054,0,0,0,0,1,40,0,0,14,0,2,0,0,0,0,13.4,260.0
10729,0,0,0,0,0,0,0,6,1448,1,91,0,0,0,0,273.8,31.0
7836,40,4428,7,1,4,369,1,0,0,0,0,0,0,0,4,404.02,2.0
11201,0,0,0,0,0,360,0,0,28,0,4,0,0,0,0,42.8,220.0
10276,0,0,0,0,6,1044,2,4,319,0,46,0,0,0,2,242.3,44.0
11670,0,0,0,0,0,0,0,2,430,0,28,0,0,0,0,83.0,187.0
9884,0,0,0,0,0,0,0,5,1083,0,90,0,0,0,2,224.3,55.0
11680,0,0,0,0,0,17,0,4,1138,1,94,0,0,0,2,231.5,50.0
10709,0,0,0,0,3,421,0,0,134,0,14,0,0,0,1,85.5,185.0
9448,0,0,0,0,13,1267,1,1,356,0,51,0,0,0,0,299.3,19.0
10308,0,0,0,0,0,33,0,4,610,0,60,0,0,0,0,148.3,120.0
