plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank,adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
8658,3.78,732,725,0,2015,Adrian,Peterson,RB,MIN,1.0,8658,0,0,0,0,11,1485,0,0,222,0,30,0,0,0,3,260.7,34.0
11192,4.33,729,725,0,2015,Le'Veon,Bell,RB,PIT,2.0,11192,0,0,0,0,3,556,0,0,136,0,24,0,0,0,0,111.2,137.0
11201,4.77,732,725,0,2015,Eddie,Lacy,RB,GBP,3.0,11201,0,0,0,0,3,758,0,2,188,0,20,0,0,0,2,140.6,115.0
9054,5.8,730,725,0,2015,Jamaal,Charles,RB,KCC,4.0,9054,0,0,0,0,4,364,0,1,177,0,21,0,0,0,2,101.1,147.0
10695,7.14,712,725,0,2015,Andrew,Luck,QB,IND,5.0,10695,15,1881,12,1,0,196,0,0,0,0,0,0,0,0,1,174.84,85.0
8670,8.22,731,725,0,2015,Marshawn,Lynch,RB,SEA,6.0,8670,0,0,0,0,3,417,1,0,80,0,13,0,0,0,0,82.7,160.0
9988,8.51,733,725,0,2015,Antonio,Brown,WR,PIT,7.0,9988,0,0,0,0,0,28,0,10,1834,2,136,0,1,0,2,388.2,2.0
7836,9.82,710,725,0,2015,Aaron,Rodgers,QB,GBP,8.0,7836,31,3821,8,4,1,344,0,0,0,0,0,0,0,0,4,317.24,20.0
9823,11.29,733,725,0,2015,Dez,Bryant,WR,DAL,9.0,9823,0,0,0,0,0,0,0,3,401,0,31,0,0,0,0,89.1,155.0
11454,13.48,732,725,0,2015,C.J.,Anderson,RB,DEN,10.0,11454,0,0,0,0,5,720,0,0,183,0,25,0,0,0,2,141.3,114.0
10302,13.82,731,725,0,2015,DeMarco,Murray,RB,PHI,11.0,10302,0,0,0,0,6,699,0,1,322,0,44,0,0,0,2,184.1,80.0
9884,14.14,734,725,0,2015,Demaryius,Thomas,WR,DEN,12.0,9884,0,0,0,0,0,0,0,6,1304,0,105,0,0,0,2,267.4,32.0
11679,14.14,735,725,0,2015,Odell,Beckham,WR,NYG,13.0,11679,0,0,0,0,0,3,0,13,1449,0,96,0,0,0,0,319.2,18.0
9902,14.61,731,725,0,2015,Rob,Gronkowski,TE,NEP,14.0,9902,0,0,0,0,0,0,0,11,1176,0,72,0,0,0,0,255.6,36.0
10271,14.88,735,725,0,2015,Julio,Jones,WR,ATL,15.0,10271,0,0,0,0,0,0,0,8,1871,0,136,0,0,1,1,375.1,4.0
9122,16.41,733,725,0,2015,Matt,Forte,RB,CHI,16.0,9122,0,0,0,0,4,898,0,3,389,1,44,0,0,0,1,214.7,58.0
11654,17.53,731,725,0,2015,Jeremy,Hill,RB,CIN,17.0,11654,0,0,0,0,11,794,1,1,79,0,15,0,0,0,3,170.3,91.0
9448,20.36,734,725,0,2015,LeSean,McCoy,RB,BUF,19.0,9448,0,0,0,0,3,895,1,2,292,0,32,0,0,0,2,178.7,84.0
10308,21.41,734,725,0,2015,Randall,Cobb,WR,GBP,20.0,10308,0,0,0,0,0,50,0,6,829,0,79,0,0,1,0,208.9,64.0
10261,22.23,735,725,0,2015,A.J.,Green,WR,CIN,21.0,10261,0,0,0,0,0,0,0,10,1297,0,86,0,0,0,1,273.7,29.0
10729,25.09,734,725,0,2015,T.Y.,Hilton,WR,IND,22.0,10729,0,0,0,0,0,0,0,5,1124,0,69,0,0,0,0,211.4,61.0
9925,29.85,732,725,0,2015,Jimmy,Graham,TE,SEA,24.0,9925,0,0,0,0,0,0,0,2,605,0,48,0,0,0,0,120.5,129.0
10722,30.04,732,725,0,2015,Alshon,Jeffery,WR,CHI,25.0,10722,0,0,0,0,0,0,0,4,807,0,54,0,0,0,0,158.7,103.0
10708,30.91,734,725,0,2015,Lamar,Miller,RB,MIA,26.0,10708,0,0,0,0,8,872,0,2,397,0,47,0,0,0,1,231.9,49.0
3291,30.99,710,725,0,2015,Peyton,Manning,QB,DEN,27.0,3291,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,209.0
11671,32.14,734,725,0,2015,Mike,Evans,WR,TBB,28.0,11671,0,0,0,0,0,0,0,3,1208,0,74,0,0,0,1,210.8,62.0
