plyrId,avgPick,draftCnt,totDrafts,pprFlg,year
9448,2.33,3377,3366,1,2014
9054,2.87,3376,3366,1,2014
8658,4.77,3374,3366,1,2014
8657,5.28,3378,3366,1,2014
9122,6.27,3380,3366,1,2014
9884,8.29,3371,3366,1,2014
11201,8.41,3366,3366,1,2014
9925,9.21,3378,3366,1,2014
9823,10.84,3382,3366,1,2014
10261,11.57,3378,3366,1,2014
3291,13.42,3328,3366,1,2014
10271,14.52,3378,3366,1,2014
8360,15.28,3387,3366,1,2014
11174,17.03,3382,3366,1,2014
8670,17.27,3386,3366,1,2014
10302,17.96,3388,3366,1,2014
7836,18.05,3340,3366,1,2014
11193,19.50,3377,3366,1,2014
4925,20.20,3339,3366,1,2014
9988,20.81,3383,3366,1,2014
9118,21.71,3383,3366,1,2014
10722,22.34,3371,3366,1,2014
11192,25.02,3371,3366,1,2014
10709,25.90,3387,3366,1,2014
10308,26.10,3395,3366,1,2014
9690,26.53,3391,3366,1,2014
9902,28.10,3389,3366,1,2014
10372,28.33,3390,3366,1,2014
11175,32.11,3397,3366,1,2014
11222,32.14,3396,3366,1,2014
11189,34.20,3388,3366,1,2014
10870,34.81,3396,3366,1,2014
9250,38.09,3403,3366,1,2014
8243,38.82,3400,3366,1,2014
10695,39.65,3339,3366,1,2014
10080,39.83,3400,3366,1,2014
7873,40.78,3402,3366,1,2014
6931,40.86,3408,3366,1,2014
9431,41.45,3348,3366,1,2014
9822,42.46,3403,3366,1,2014
11225,42.78,3392,3366,1,2014
7393,43.18,3403,3366,1,2014
10303,46.56,3398,3366,1,2014
7839,46.78,3409,3366,1,2014
9427,48.56,3399,3366,1,2014
9441,49.15,3401,3366,1,2014
10721,50.49,3407,3366,1,2014
10352,53.19,3389,3366,1,2014
9075,54.14,3401,3366,1,2014
9851,54.96,3403,3366,1,2014
9880,55.64,3420,3366,1,2014
10729,56.09,3401,3366,1,2014
9662,59.45,3406,3366,1,2014
10699,59.57,3356,3366,1,2014
9680,60.66,3406,3366,1,2014
8247,61.00,3400,3366,1,2014
7653,61.05,3401,3366,1,2014
10272,61.74,201,3366,1,2014
10289,62.53,3412,3366,1,2014
10773,63.71,203,3366,1,2014
9094,63.76,3398,3366,1,2014
11653,63.79,3420,3366,1,2014
9907,64.86,3409,3366,1,2014
5848,67.33,3354,3366,1,2014
9436,67.97,3413,3366,1,2014
9078,68.07,3401,3366,1,2014
10048,68.14,3401,3366,1,2014
7877,68.44,3414,3366,1,2014
10706,69.20,3400,3366,1,2014
9099,69.71,3359,3366,1,2014
9918,69.73,3408,3366,1,2014
6997,70.89,3413,3366,1,2014
10768,71.58,202,3366,1,2014
10273,72.26,3345,3366,1,2014
10720,73.17,3396,3366,1,2014
11670,73.61,3416,3366,1,2014
9525,75.51,3409,3366,1,2014
8493,77.39,3413,3366,1,2014
9881,79.10,3405,3366,1,2014
11248,79.71,3382,3366,1,2014
10269,80.31,201,3366,1,2014
11674,81.95,3413,3366,1,2014
10772,82.26,202,3366,1,2014
10312,84.22,3391,3366,1,2014
0515,85.47,3141,3366,1,2014
8931,85.56,3403,3366,1,2014
10297,86.00,3347,3366,1,2014
10696,86.33,3348,3366,1,2014
9831,86.75,3398,3366,1,2014
8687,87.61,3388,3366,1,2014
4923,88.13,3415,3366,1,2014
8669,88.49,202,3366,1,2014
11211,88.63,3389,3366,1,2014
8252,90.91,3366,3366,1,2014
9933,91.19,3381,3366,1,2014
10703,93.56,3362,3366,1,2014
7260,93.90,3366,3366,1,2014
11671,94.56,3390,3366,1,2014
8301,94.85,3410,3366,1,2014
10708,98.68,3387,3366,1,2014
11247,99.48,3376,3366,1,2014
10334,100.04,3378,3366,1,2014
11673,100.19,3393,3366,1,2014
10753,102.61,195,3366,1,2014
7942,102.67,3380,3366,1,2014
10775,102.96,198,3366,1,2014
9437,103.41,3384,3366,1,2014
11232,103.66,3333,3366,1,2014
8675,103.98,204,3366,1,2014
7414,104.32,3383,3366,1,2014
11657,106.03,3368,3366,1,2014
9693,107.20,3368,3366,1,2014
7394,108.28,3360,3366,1,2014
