plyrId,avgPick,draftCnt,totDrafts,pprFlg,year
12171,1.85,571,572,0,2017
11192,2.75,572,572,0,2017
9988,4.20,571,572,0,2017
10271,6.61,570,572,0,2017
11679,8.67,572,572,0,2017
11660,8.74,570,572,0,2017
9448,9.18,571,572,0,2017
11671,10.89,571,572,0,2017
7836,11.42,548,572,0,2017
12151,11.49,570,572,0,2017
9118,13.41,573,572,0,2017
10261,14.37,574,572,0,2017
12154,15.50,572,572,0,2017
12625,15.75,573,572,0,2017
5848,17.94,547,572,0,2017
12634,18.16,572,572,0,2017
10302,18.46,570,572,0,2017
12652,20.04,573,572,0,2017
12150,21.06,575,572,0,2017
9902,21.59,572,572,0,2017
9823,22.07,575,572,0,2017
12175,22.80,575,572,0,2017
11674,24.57,575,572,0,2017
13129,25.80,574,572,0,2017
4925,27.90,551,572,0,2017
13130,29.87,575,572,0,2017
10527,30.34,575,572,0,2017
10708,31.57,575,572,0,2017
8670,32.28,575,572,0,2017
13128,32.49,574,572,0,2017
10729,32.59,573,572,0,2017
9099,35.76,551,572,0,2017
11232,35.86,575,572,0,2017
11668,37.44,574,572,0,2017
13138,41.27,575,572,0,2017
9884,41.67,574,572,0,2017
12261,41.84,575,572,0,2017
11244,42.02,572,572,0,2017
11657,42.14,572,572,0,2017
10500,42.59,574,572,0,2017
11675,44.53,573,572,0,2017
10722,44.90,573,572,0,2017
11222,45.13,574,572,0,2017
13131,45.37,571,572,0,2017
12801,48.92,570,572,0,2017
11673,51.73,572,572,0,2017
9427,52.25,573,572,0,2017
10703,52.35,551,572,0,2017
11454,53.49,570,572,0,2017
11248,56.24,572,572,0,2017
11678,56.28,573,572,0,2017
11644,56.78,551,572,0,2017
8687,57.03,571,572,0,2017
10276,57.71,568,572,0,2017
11688,58.37,575,572,0,2017
9831,60.53,574,572,0,2017
12155,60.87,563,572,0,2017
9925,62.61,570,572,0,2017
12140,63.87,549,572,0,2017
10272,64.45,33,572,0,2017
7393,65.99,572,572,0,2017
10273,67.56,550,572,0,2017
11680,68.00,568,572,0,2017
10709,69.28,565,572,0,2017
11670,70.52,571,572,0,2017
10369,70.58,562,572,0,2017
11180,71.17,566,572,0,2017
8658,72.23,570,572,0,2017
12141,73.61,548,572,0,2017
10773,73.94,33,572,0,2017
12186,74.83,568,572,0,2017
10700,75.01,549,572,0,2017
12152,75.96,564,572,0,2017
12176,77.30,565,572,0,2017
12184,79.85,570,572,0,2017
11250,80.48,561,572,0,2017
7401,80.55,549,572,0,2017
8360,81.47,569,572,0,2017
9918,81.75,563,572,0,2017
12250,82.45,33,572,0,2017
12620,83.62,548,572,0,2017
9898,84.44,564,572,0,2017
11721,86.29,34,572,0,2017
9044,87.15,546,572,0,2017
7877,87.62,562,572,0,2017
12631,87.85,556,572,0,2017
12887,88.19,556,572,0,2017
10695,88.61,551,572,0,2017
12626,88.63,559,572,0,2017
12233,88.82,34,572,0,2017
8416,89.78,535,572,0,2017
11201,90.07,561,572,0,2017
9075,90.90,565,572,0,2017
12686,92.88,34,572,0,2017
10308,95.22,557,572,0,2017
10312,95.36,533,572,0,2017
10775,96.43,35,572,0,2017
9693,97.85,545,572,0,2017
9087,98.39,553,572,0,2017
9250,98.76,548,572,0,2017
0511,98.87,521,572,0,2017
7394,98.91,545,572,0,2017
11951,99.23,555,572,0,2017
11746,100.16,540,572,0,2017
9431,100.72,548,572,0,2017
11247,102.09,522,572,0,2017
10983,103.01,537,572,0,2017
10267,103.88,33,572,0,2017
12676,104.60,520,572,0,2017
0512,105.32,521,572,0,2017
0515,105.61,519,572,0,2017
9881,107.01,549,572,0,2017
11293,107.30,33,572,0,2017
12221,110.19,31,572,0,2017
8359,110.26,540,572,0,2017
11677,110.69,531,572,0,2017
11199,110.75,205,572,0,2017
10976,111.09,541,572,0,2017
12169,112.81,537,572,0,2017
9436,112.96,536,572,0,2017
0532,113.76,519,572,0,2017
12391,114.03,519,572,0,2017
9101,115.71,531,572,0,2017
11813,118.17,29,572,0,2017
9662,119.69,146,572,0,2017
0519,120.51,518,572,0,2017
7391,120.59,530,572,0,2017
9966,122.23,30,572,0,2017
6789,122.83,539,572,0,2017
10313,123.49,534,572,0,2017
9833,123.84,32,572,0,2017
13153,123.85,505,572,0,2017
0504,124.70,516,572,0,2017
12465,124.73,211,572,0,2017
0524,124.85,515,572,0,2017
10738,124.91,496,572,0,2017
11188,125.14,509,572,0,2017
12646,125.81,482,572,0,2017
12736,126.16,31,572,0,2017
10903,126.72,474,572,0,2017
12610,127.74,522,572,0,2017
9122,128.16,506,572,0,2017
11783,128.62,487,572,0,2017
11938,128.77,484,572,0,2017
9866,129.29,31,572,0,2017
10815,130.52,31,572,0,2017
10506,130.57,538,572,0,2017
13133,131.30,472,572,0,2017
11695,132.23,430,572,0,2017
11722,132.50,32,572,0,2017
12157,132.59,475,572,0,2017
11654,133.82,470,572,0,2017
11747,134.21,457,572,0,2017
11676,134.60,457,572,0,2017
6929,134.63,505,572,0,2017
11728,134.69,32,572,0,2017
10300,135.32,463,572,0,2017
6997,136.50,427,572,0,2017
11516,136.89,426,572,0,2017
9525,136.97,455,572,0,2017
8742,137.47,537,572,0,2017
0527,139.03,501,572,0,2017
9054,139.19,461,572,0,2017
8673,139.68,444,572,0,2017
9467,139.96,424,572,0,2017
13139,141.08,423,572,0,2017
11349,141.59,32,572,0,2017
11390,142.42,419,572,0,2017
13188,144.10,406,572,0,2017
12177,144.55,385,572,0,2017
0517,144.60,465,572,0,2017
12677,144.81,379,572,0,2017
7942,146.42,382,572,0,2017
12627,146.62,363,572,0,2017
2842,147.65,502,572,0,2017
11182,148.31,303,572,0,2017
10413,148.44,408,572,0,2017
13176,148.84,363,572,0,2017
0510,149.83,457,572,0,2017
10743,150.05,370,572,0,2017
12658,150.14,386,572,0,2017
11975,151.95,261,572,0,2017
9825,153.07,29,572,0,2017
8252,153.48,390,572,0,2017
8930,153.48,504,572,0,2017
0518,154.29,417,572,0,2017
10372,154.70,331,572,0,2017
5666,156.00,485,572,0,2017
12956,156.86,518,572,0,2017
9064,156.92,309,572,0,2017
7813,156.96,256,572,0,2017
9308,157.14,242,572,0,2017
13234,157.16,257,572,0,2017
12110,157.36,277,572,0,2017
10723,158.59,275,572,0,2017
13132,159.13,280,572,0,2017
0531,159.40,345,572,0,2017
10973,159.86,286,572,0,2017
9817,160.35,274,572,0,2017
0526,160.38,354,572,0,2017
12636,160.38,199,572,0,2017
11193,161.06,267,572,0,2017
13113,161.21,251,572,0,2017
13134,161.43,253,572,0,2017
13189,161.48,287,572,0,2017
13164,161.58,259,572,0,2017
12635,161.86,131,572,0,2017
11947,161.96,395,572,0,2017
12187,162.38,239,572,0,2017
12930,164.05,250,572,0,2017
12648,164.09,238,572,0,2017
0509,164.15,312,572,0,2017
10872,164.21,370,572,0,2017
11757,164.31,29,572,0,2017
11945,164.74,414,572,0,2017
13277,164.88,209,572,0,2017
0529,165.06,33,572,0,2017
7236,165.48,229,572,0,2017
12098,166.32,154,572,0,2017
11642,166.41,147,572,0,2017
0513,167.02,251,572,0,2017
13155,167.28,199,572,0,2017
9474,167.54,229,572,0,2017
11936,167.66,352,572,0,2017
13146,168.29,243,572,0,2017
0523,168.40,244,572,0,2017
13364,168.80,137,572,0,2017
12857,168.86,169,572,0,2017
10389,168.90,148,572,0,2017
10303,170.11,112,572,0,2017
11227,170.39,153,572,0,2017
11387,170.85,353,572,0,2017
12381,171.07,98,572,0,2017
0528,171.26,259,572,0,2017
13154,172.22,121,572,0,2017
11384,172.26,281,572,0,2017
11698,172.61,175,572,0,2017
0514,172.83,223,572,0,2017
11239,173.65,48,572,0,2017
10714,173.81,43,572,0,2017
9694,174.20,251,572,0,2017
11656,174.25,80,572,0,2017
13114,174.47,140,572,0,2017
13334,174.64,36,572,0,2017
0506,174.68,200,572,0,2017
0525,175.16,225,572,0,2017
12669,175.22,59,572,0,2017
11257,175.27,41,572,0,2017
10289,175.60,126,572,0,2017
13237,176.01,78,572,0,2017
9714,176.17,96,572,0,2017
9611,176.20,40,572,0,2017
12205,176.25,117,572,0,2017
12611,176.69,85,572,0,2017
10960,177.33,39,572,0,2017
11672,177.98,103,572,0,2017
12647,178.11,54,572,0,2017
10742,178.19,110,572,0,2017
13192,178.27,135,572,0,2017
0501,178.29,167,572,0,2017
12319,178.82,94,572,0,2017
12197,178.97,86,572,0,2017
13156,179.16,43,572,0,2017
13290,179.38,74,572,0,2017
10409,179.50,112,572,0,2017
12211,179.57,88,572,0,2017
8144,179.87,115,572,0,2017
11186,179.91,69,572,0,2017
0516,179.99,155,572,0,2017
10720,179.99,94,572,0,2017
13378,180.16,57,572,0,2017
13157,180.52,50,572,0,2017
13403,180.70,61,572,0,2017
9319,180.97,200,572,0,2017
9843,181.29,51,572,0,2017
0521,181.61,38,572,0,2017
12912,181.61,66,572,0,2017
12860,181.63,30,572,0,2017
3494,182.25,193,572,0,2017
13241,182.32,37,572,0,2017
12629,182.43,49,572,0,2017
0508,182.73,132,572,0,2017
10870,182.85,78,572,0,2017
12188,183.12,33,572,0,2017
0503,183.20,140,572,0,2017
12437,183.58,31,572,0,2017
12153,183.90,62,572,0,2017
9686,184.24,136,572,0,2017
11211,184.59,37,572,0,2017
12417,186.19,88,572,0,2017
10487,186.96,118,572,0,2017
0507,187.66,47,572,0,2017
13115,187.68,72,572,0,2017
11681,188.65,49,572,0,2017
11925,188.76,42,572,0,2017
10077,189.46,50,572,0,2017
10737,189.85,39,572,0,2017
0520,190.94,34,572,0,2017
11228,191.32,31,572,0,2017
8851,191.66,131,572,0,2017
9307,192.27,30,572,0,2017
13116,192.85,46,572,0,2017
8153,194.56,48,572,0,2017
11213,194.56,41,572,0,2017
11760,195.10,59,572,0,2017
0522,195.43,30,572,0,2017
10868,196.09,35,572,0,2017
10862,196.96,45,572,0,2017
11941,197.44,41,572,0,2017
