plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank
11192,3.39,3175,3163,1,2015,Le'Veon,Bell,RB,PIT,1.0
9988,4.57,3184,3163,1,2015,Antonio,Brown,WR,PIT,2.0
11201,6.52,3183,3163,1,2015,Eddie,Lacy,RB,GBP,3.0
8658,6.81,3187,3163,1,2015,Adrian,Peterson,RB,MIN,4.0
9054,8.02,3182,3163,1,2015,Jamaal,Charles,RB,KCC,5.0
9823,8.33,3184,3163,1,2015,Dez,Bryant,WR,DAL,6.0
10271,8.99,3183,3163,1,2015,Julio,Jones,WR,ATL,7.0
11679,9.7,3184,3163,1,2015,Odell,Beckham,WR,NYG,8.0
9884,11.07,3187,3163,1,2015,Demaryius,Thomas,WR,DEN,9.0
10695,11.34,3143,3163,1,2015,Andrew,Luck,QB,IND,10.0
9902,11.73,3186,3163,1,2015,Rob,Gronkowski,TE,NEP,11.0
8670,15.18,3179,3163,1,2015,Marshawn,Lynch,RB,SEA,12.0
8657,15.93,3185,3163,1,2015,Calvin,Johnson,WR,DET,13.0
7836,16.63,3145,3163,1,2015,Aaron,Rodgers,QB,GBP,14.0
11454,17.66,3188,3163,1,2015,C.J.,Anderson,RB,DEN,15.0
10261,17.85,3186,3163,1,2015,A.J.,Green,WR,CIN,16.0
9122,18.15,3186,3163,1,2015,Matt,Forte,RB,CHI,17.0
10308,18.96,3190,3163,1,2015,Randall,Cobb,WR,GBP,18.0
10302,19.05,3187,3163,1,2015,DeMarco,Murray,RB,PHI,19.0
11654,20.65,3186,3163,1,2015,Jeremy,Hill,RB,CIN,20.0
9448,22.79,3185,3163,1,2015,LeSean,McCoy,RB,BUF,21.0
10729,24.39,3188,3163,1,2015,T.Y.,Hilton,WR,IND,22.0
10722,25.03,3187,3163,1,2015,Alshon,Jeffery,WR,CHI,23.0
11671,26.24,3180,3163,1,2015,Mike,Evans,WR,TBB,24.0
11674,27.4,3186,3163,1,2015,Brandin,Cooks,WR,NOS,25.0
11232,30.71,3188,3163,1,2015,DeAndre,Hopkins,WR,HOU,26.0
9925,30.95,3184,3163,1,2015,Jimmy,Graham,TE,SEA,27.0
9278,32.33,3181,3163,1,2015,Justin,Forsett,RB,BAL,28.0
9118,32.6,1488,3163,1,2015,Jordy,Nelson,WR,GBP,29.0
11676,32.97,3184,3163,1,2015,Jordan,Matthews,WR,PHI,30.0
9918,33.78,3188,3163,1,2015,Emmanuel,Sanders,WR,DEN,31.0
10708,33.8,3184,3163,1,2015,Lamar,Miller,RB,MIA,32.0
10276,39.53,3188,3163,1,2015,Mark,Ingram,RB,NOS,33.0
12151,39.54,3180,3163,1,2015,Melvin,Gordon,RB,SDC,34.0
12175,41.47,3179,3163,1,2015,Amari,Cooper,WR,OAK,35.0
7877,42.99,3176,3163,1,2015,Frank,Gore,RB,IND,36.0
10703,44.23,3145,3163,1,2015,Russell,Wilson,QB,SEA,37.0
11657,44.49,3185,3163,1,2015,Carlos,Hyde,RB,SFO,38.0
11222,44.7,3186,3163,1,2015,Keenan,Allen,WR,SDC,39.0
11390,46.09,3188,3163,1,2015,Latavius,Murray,RB,OAK,40.0
9831,46.26,3189,3163,1,2015,Golden,Tate,WR,DET,41.0
9662,46.68,3187,3163,1,2015,Julian,Edelman,WR,NEP,42.0
10870,48.53,3181,3163,1,2015,Alfred,Morris,RB,WAS,43.0
11673,48.69,1319,3163,1,2015,Kelvin,Benjamin,WR,CAR,44.0
3291,50.45,3099,3163,1,2015,Peyton,Manning,QB,DEN,45.0
11670,51.66,3181,3163,1,2015,Sammy,Watkins,WR,BUF,46.0
12150,51.88,3175,3163,1,2015,Todd,Gurley,RB,STL,47.0
6931,52.15,3135,3163,1,2015,Andre,Johnson,WR,IND,48.0
11244,52.33,3179,3163,1,2015,Travis,Kelce,TE,KCC,49.0
11680,52.44,3189,3163,1,2015,Jarvis,Landry,WR,MIA,50.0
8687,53.81,3188,3163,1,2015,Greg,Olsen,TE,CAR,51.0
9436,55.43,3189,3163,1,2015,Jeremy,Maclin,WR,KCC,52.0
11175,55.66,3176,3163,1,2015,Andre,Ellington,RB,ARI,53.0
12155,56.15,3174,3163,1,2015,Ameer,Abdullah,RB,DET,54.0
4925,56.87,3147,3163,1,2015,Drew,Brees,QB,NOS,55.0
9690,57.92,3164,3163,1,2015,Arian,Foster,RB,HOU,56.0
7401,58.18,3149,3163,1,2015,Ben,Roethlisberger,QB,PIT,57.0
11200,59.08,3144,3163,1,2015,Joseph,Randle,RB,FA*,58.0
8360,60.76,3190,3163,1,2015,Brandon,Marshall,WR,NYJ,59.0
12153,61.62,3177,3163,1,2015,T.J.,Yeldon,RB,JAC,60.0
9101,63.38,3182,3163,1,2015,Jonathan,Stewart,RB,CAR,61.0
11678,64.18,3175,3163,1,2015,Allen,Robinson,WR,JAC,62.0
11675,65.27,3175,3163,1,2015,Davante,Adams,WR,GBP,63.0
9822,66.34,3161,3163,1,2015,C.J.,Spiller,RB,NOS,64.0
9099,67.59,3147,3163,1,2015,Matt,Ryan,QB,ATL,65.0
11688,67.81,3171,3163,1,2015,Martavis,Bryant,WR,PIT,66.0
12181,68.8,3168,3163,1,2015,Nelson,Agholor,WR,PHI,67.0
9075,68.97,3181,3163,1,2015,DeSean,Jackson,WR,WAS,68.0
10709,70.6,3181,3163,1,2015,Doug,Martin,RB,TBB,69.0
9044,71.44,3178,3163,1,2015,Martellus,Bennett,TE,CHI,70.0
11193,73.66,3173,3163,1,2015,Giovani,Bernard,RB,CIN,71.0
5848,80.53,3148,3163,1,2015,Tom,Brady,QB,NEP,72.0
7260,80.99,3138,3163,1,2015,Tony,Romo,QB,DAL,73.0
9431,81.8,3142,3163,1,2015,Matthew,Stafford,QB,DET,74.0
7873,82.1,3161,3163,1,2015,Vincent,Jackson,WR,TBB,75.0
10273,85.38,3142,3163,1,2015,Cam,Newton,QB,CAR,76.0
11409,86.08,3146,3163,1,2015,Charles,Johnson,WR,MIN,77.0
9525,86.24,3167,3163,1,2015,Mike,Wallace,WR,MIN,78.0
10697,86.85,3140,3163,1,2015,Ryan,Tannehill,QB,MIA,79.0
12152,88.83,3141,3163,1,2015,Tevin,Coleman,RB,ATL,80.0
10077,89.76,3174,3163,1,2015,Chris,Ivory,RB,NYJ,81.0
12177,90.11,1396,3163,1,2015,Kevin,White,WR,CHI,82.0
10372,90.99,3126,3163,1,2015,Julius,Thomas,TE,JAC,83.0
10048,91.4,3115,3163,1,2015,Joique,Bell,RB,DET,84.0
9898,91.61,3160,3163,1,2015,LeGarrette,Blount,RB,NEP,85.0
7393,92.75,3181,3163,1,2015,Larry,Fitzgerald,WR,ARI,86.0
10352,93.95,3131,3163,1,2015,Jordan,Cameron,TE,MIA,87.0
11783,94.73,3154,3163,1,2015,John,Brown,WR,ARI,88.0
7839,95.67,3105,3163,1,2015,Roddy,White,WR,ATL,89.0
10080,96.99,3140,3163,1,2015,Victor,Cruz,WR,NYG,90.0
6997,97.57,3161,3163,1,2015,Jason,Witten,TE,DAL,91.0
11668,98.2,3132,3163,1,2015,Isaiah,Crowell,RB,CLE,92.0
10303,99.43,3138,3163,1,2015,Shane,Vereen,RB,NYG,93.0
11247,101.21,3103,3163,1,2015,Zach,Ertz,TE,PHI,94.0
9680,101.95,3149,3163,1,2015,Rashad,Jennings,RB,NYG,95.0
4974,104.33,3142,3163,1,2015,Steve,Smith,WR,BAL,96.0
7391,105.59,3134,3163,1,2015,Eli,Manning,QB,NYG,97.0
9881,105.59,3137,3163,1,2015,Eric,Decker,WR,NYJ,98.0
10289,105.69,3127,3163,1,2015,Torrey,Smith,WR,SFO,99.0
10721,105.69,3092,3163,1,2015,Michael,Floyd,WR,ARI,100.0
7394,111.09,3134,3163,1,2015,Philip,Rivers,QB,SDC,101.0
11660,111.54,3098,3163,1,2015,Devonta,Freeman,RB,ATL,102.0
9851,111.97,3122,3163,1,2015,Ryan,Mathews,RB,PHI,103.0
11250,112.49,3061,3163,1,2015,Tyler,Eifert,TE,CIN,104.0
10720,112.77,3106,3163,1,2015,Kendall,Wright,WR,TEN,105.0
9817,113.32,3111,3163,1,2015,Sam,Bradford,QB,PHI,106.0
11650,113.75,3074,3163,1,2015,Tre,Mason,RB,STL,107.0
12176,114.16,2959,3163,1,2015,DeVante,Parker,WR,MIA,108.0
12157,114.42,3046,3163,1,2015,Duke,Johnson,RB,CLE,109.0
8416,116.07,3090,3163,1,2015,Delanie,Walker,TE,TEN,110.0
6982,116.13,3113,3163,1,2015,Anquan,Boldin,WR,SFO,111.0
9087,117.73,3124,3163,1,2015,Darren,McFadden,RB,DAL,112.0
12205,117.77,3020,3163,1,2015,Devin,Funchess,WR,CAR,113.0
9843,118.26,2910,3163,1,2015,Brandon,LaFell,WR,NEP,114.0
11834,119.98,3049,3163,1,2015,Alfred,Blue,RB,HOU,115.0
11653,120.49,3077,3163,1,2015,Bishop,Sankey,RB,TEN,116.0
11640,121.0,3094,3163,1,2015,Teddy,Bridgewater,QB,MIN,117.0
12197,122.76,2839,3163,1,2015,Breshad,Perriman,WR,BAL,118.0
9250,125.76,3044,3163,1,2015,Pierre,Garcon,WR,WAS,119.0
9693,128.15,3031,3163,1,2015,Danny,Woodhead,RB,SDC,120.0
8493,129.45,3063,3163,1,2015,Marques,Colston,WR,NOS,121.0
10312,132.35,3005,3163,1,2015,Kyle,Rudolph,TE,MIN,122.0
8339,134.24,3010,3163,1,2015,Owen,Daniels,TE,DEN,123.0
12171,134.36,2767,3163,1,2015,David,Johnson,RB,ARI,124.0
11194,134.54,2921,3163,1,2015,Knile,Davis,RB,KCC,125.0
12158,135.57,2453,3163,1,2015,David,Cobb,RB,TEN,126.0
9120,136.06,2705,3163,1,2015,Eddie,Royal,WR,CHI,127.0
12180,136.44,2503,3163,1,2015,Dorial,Green-Beckham,WR,TEN,128.0
10742,136.77,2956,3163,1,2015,Dwayne,Allen,TE,IND,129.0
11211,137.18,3005,3163,1,2015,Terrance,Williams,WR,DAL,130.0
7236,138.28,3041,3163,1,2015,Antonio,Gates,TE,SDC,131.0
10735,139.19,2917,3163,1,2015,Brian,Quick,WR,STL,132.0
11697,139.64,2758,3163,1,2015,Austin,Seferian-Jenkins,TE,TBB,133.0
10960,139.73,524,3163,1,2015,Josh,Gordon,WR,CLE,134.0
11229,140.95,2691,3163,1,2015,Markus,Wheaton,WR,PIT,135.0
12154,143.71,1473,3163,1,2015,Jay,Ajayi,RB,MIA,136.0
10297,145.33,2909,3163,1,2015,Colin,Kaepernick,QB,SFO,137.0
11677,145.58,1787,3163,1,2015,Donte,Moncrief,WR,IND,138.0
9064,145.81,2939,3163,1,2015,Joe,Flacco,QB,BAL,139.0
11529,146.11,2714,3163,1,2015,Josh,Hill,TE,NOS,140.0
12140,146.16,2487,3163,1,2015,Jameis,Winston,QB,TBB,141.0
11656,146.19,2572,3163,1,2015,Charles,Sims,RB,TBB,142.0
7942,146.42,2833,3163,1,2015,Darren,Sproles,RB,PHI,143.0
11227,148.22,2570,3163,1,2015,Kenny,Stills,WR,MIA,144.0
9269,149.38,2699,3163,1,2015,Stevie,Johnson,WR,SDC,145.0
12141,149.96,2347,3163,1,2015,Marcus,Mariota,QB,TEN,146.0
11758,150.04,2242,3163,1,2015,Cody,Latimer,WR,DEN,147.0
9427,151.59,2787,3163,1,2015,Michael,Crabtree,WR,OAK,148.0
12188,151.73,2221,3163,1,2015,Phillip,Dorsett,WR,IND,149.0
8243,152.04,2842,3163,1,2015,Reggie,Bush,RB,SFO,150.0
12162,152.35,2362,3163,1,2015,Matt,Jones,RB,WAS,151.0
11695,153.57,2085,3163,1,2015,Eric,Ebron,TE,DET,152.0
6929,153.85,2825,3163,1,2015,Carson,Palmer,QB,ARI,153.0
11644,154.57,2004,3163,1,2015,Derek,Carr,QB,OAK,154.0
11761,157.34,1710,3163,1,2015,Jerick,McKinnon,RB,MIN,155.0
10725,157.47,2419,3163,1,2015,Rueben,Randle,WR,NYG,156.0
10389,157.86,336,3163,1,2015,Dion,Lewis,RB,NEP,157.0
9441,158.34,2414,3163,1,2015,Percy,Harvin,WR,BUF,158.0
12206,158.4,1245,3163,1,2015,Maxx,Williams,TE,BAL,159.0
