plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank
9988,2.42,722,718,0,2016,Antonio,Brown,WR,PIT,1.0
12150,4.36,705,718,0,2016,Todd,Gurley,RB,RAM,2.0
11679,4.63,724,718,0,2016,Odell,Beckham,WR,NYG,3.0
10271,6.71,722,718,0,2016,Julio,Jones,WR,ATL,4.0
12171,6.9,704,718,0,2016,David,Johnson,RB,ARI,5.0
12625,8.28,723,718,0,2016,Ezekiel,Elliott,RB,DAL,6.0
8658,8.39,704,718,0,2016,Adrian,Peterson,RB,MIN,7.0
11232,11.54,722,718,0,2016,DeAndre,Hopkins,WR,HOU,8.0
10261,12.46,706,718,0,2016,A.J.,Green,WR,CIN,9.0
11192,12.81,723,718,0,2016,Le'Veon,Bell,RB,PIT,10.0
9902,12.87,707,718,0,2016,Rob,Gronkowski,TE,NEP,11.0
10273,14.07,683,718,0,2016,Cam,Newton,QB,CAR,12.0
10708,14.2,723,718,0,2016,Lamar,Miller,RB,HOU,13.0
11678,16.6,705,718,0,2016,Allen,Robinson,WR,JAC,14.0
11660,16.92,723,718,0,2016,Devonta,Freeman,RB,ATL,15.0
7836,17.77,692,718,0,2016,Aaron,Rodgers,QB,GBP,16.0
9823,18.2,723,718,0,2016,Dez,Bryant,WR,DAL,17.0
11201,21.52,705,718,0,2016,Eddie,Lacy,RB,GBP,18.0
9118,22.05,723,718,0,2016,Jordy,Nelson,WR,GBP,19.0
9054,23.87,706,718,0,2016,Jamaal,Charles,RB,KCC,20.0
11671,25.28,707,718,0,2016,Mike,Evans,WR,TBB,21.0
8360,25.93,705,718,0,2016,Brandon,Marshall,WR,NYJ,22.0
10276,25.93,707,718,0,2016,Mark,Ingram,RB,NOS,23.0
10709,26.47,706,718,0,2016,Doug,Martin,RB,TBB,24.0
9448,26.87,707,718,0,2016,LeSean,McCoy,RB,BUF,25.0
12175,27.0,721,718,0,2016,Amari,Cooper,WR,OAK,26.0
11222,28.7,704,718,0,2016,Keenan,Allen,WR,SDC,27.0
10722,31.32,706,718,0,2016,Alshon,Jeffery,WR,CHI,28.0
10695,32.34,682,718,0,2016,Andrew,Luck,QB,IND,29.0
11674,32.84,706,718,0,2016,Brandin,Cooks,WR,NOS,30.0
10703,33.12,693,718,0,2016,Russell,Wilson,QB,SEA,31.0
10729,33.29,707,718,0,2016,T.Y.,Hilton,WR,IND,32.0
