byeWk,draftCnt,frmt,name,ovrlAdp,playerId,pos,rdAdp,rdCnt,team,tmCnt,year
8,69,ppr,David Johnson,1.7,2297,RB,1.02,15,ARI,10,2010
9,77,ppr,LeVeon Bell,2.8,1983,RB,1.03,15,PIT,10,2010
9,37,ppr,Antonio Brown,3.5,1886,WR,1.03,15,PIT,10,2010
5,49,ppr,Devonta Freeman,7.5,2144,RB,1.07,15,ATL,10,2010
5,105,ppr,Julio Jones,8.3,1796,WR,1.08,15,ATL,10,2010
11,23,ppr,Mike Evans,8.5,2111,WR,1.09,15,TB,10,2010
6,45,ppr,LeSean McCoy,8.7,1645,RB,1.09,15,BUF,10,2010
8,31,ppr,Odell Beckham Jr,9.4,2113,WR,1.09,15,NYG,10,2010
9,48,ppr,Melvin Gordon,10.2,2282,RB,1.10,15,LAC,10,2010
8,59,ppr,Jordy Nelson,10.4,1350,WR,1.10,15,GB,10,2010
6,44,ppr,Ezekiel Elliott,11.6,2343,RB,2.02,15,DAL,10,2010
5,50,ppr,Michael Thomas,12.3,2357,WR,2.02,15,NO,10,2010
6,50,ppr,A.J. Green,12.4,1795,WR,2.02,15,CIN,10,2010
8,41,ppr,DeMarco Murray,14.0,1819,RB,2.04,15,TEN,10,2010
11,54,ppr,Jay Ajayi,14.8,2284,RB,2.05,15,MIA,10,2010
9,50,ppr,Brandin Cooks,18.2,2114,WR,2.08,15,NE,10,2010
9,40,ppr,Rob Gronkowski,19.9,1740,TE,2.10,15,NE,10,2010
10,62,ppr,Amari Cooper,20.0,2277,WR,2.10,15,OAK,10,2010
9,33,ppr,Jordan Howard,20.0,2384,RB,2.10,15,CHI,10,2010
8,54,ppr,Todd Gurley,20.4,2280,RB,2.10,15,LAR,10,2010
6,60,ppr,Dez Bryant,20.9,1727,WR,3.01,15,DAL,10,2010
10,53,ppr,Kareem Hunt,21.0,2450,RB,3.01,15,KC,10,2010
6,42,ppr,Doug Baldwin,21.5,1927,WR,3.02,15,SEA,10,2010
8,55,ppr,Aaron Rodgers,22.2,1004,QB,3.02,15,GB,10,2010
11,61,ppr,Christian McCaffrey,22.7,2434,RB,3.03,15,CAR,10,2010
9,64,ppr,Dalvin Cook,24.4,2432,RB,3.04,15,MIN,10,2010
9,40,ppr,Keenan Allen,26.2,1992,WR,3.06,15,LAC,10,2010
8,51,ppr,Leonard Fournette,27.3,2433,RB,3.07,15,JAC,10,2010
5,33,ppr,Terrelle Pryor,29.6,1868,WR,3.10,15,WAS,10,2010
9,37,ppr,Tom Brady,30.0,119,QB,3.10,15,NE,10,2010
9,44,ppr,Isaiah Crowell,31.1,2219,RB,4.01,15,CLE,10,2010
8,41,ppr,Ty Montgomery,31.8,2317,RB,4.02,15,GB,10,2010
7,48,ppr,DeAndre Hopkins,32.1,1975,WR,4.02,15,HOU,10,2010
11,43,ppr,Carlos Hyde,34.8,2129,RB,4.05,15,SF,10,2010
11,41,ppr,T.Y. Hilton,35.1,1935,WR,4.05,15,IND,10,2010
5,46,ppr,Demaryius Thomas,36.5,1735,WR,4.07,15,DEN,10,2010
11,49,ppr,Kelvin Benjamin,36.6,2116,WR,4.07,15,CAR,10,2010
10,51,ppr,Travis Kelce,37.0,1989,TE,4.07,15,KC,10,2010
10,49,ppr,Marshawn Lynch,37.2,740,RB,4.07,15,OAK,10,2010
7,40,ppr,Lamar Miller,37.3,1908,RB,4.07,15,HOU,10,2010
