byeWk,draftCnt,frmt,name,ovrlAdp,playerId,pos,rdAdp,rdCnt,team,tmCnt,year
8,12,rookie,Leonard Fournette,1.3,2433,RB,1.01,15,JAC,12,2010
11,7,rookie,Christian McCaffrey,2.6,2434,RB,1.03,15,CAR,12,2010
8,4,rookie,Corey Davis,3.0,2435,WR,1.03,15,TEN,12,2010
6,12,rookie,Joe Mixon,3.1,2438,RB,1.03,15,CIN,12,2010
9,4,rookie,Mike Williams,3.5,2436,WR,1.04,15,LAC,12,2010
9,18,rookie,Dalvin Cook,4.9,2432,RB,1.05,15,MIN,12,2010
6,4,rookie,John Ross,6.5,2437,WR,1.07,15,CIN,12,2010
11,2,rookie,O.J. Howard,7.0,2446,TE,1.07,15,TB,12,2010
5,2,rookie,Samaje Perine,9.0,2441,RB,1.09,15,WAS,12,2010
7,7,rookie,Donta Foreman,12.1,2440,RB,1.12,15,HOU,12,2010
8,6,rookie,Evan Engram,12.2,2451,TE,1.12,15,NYG,12,2010
6,5,rookie,Zay Jones,13.2,2468,WR,2.01,15,BUF,12,2010
8,7,rookie,Jamaal Williams,13.7,2445,RB,2.02,15,GB,12,2010
10,6,rookie,Pat Mahomes,14.0,2462,QB,2.02,15,KC,12,2010
10,47,rookie,Kareem Hunt,14.1,2450,RB,2.02,15,KC,12,2010
11,5,rookie,Curtis Samuel,17.2,2443,WR,2.05,15,CAR,12,2010
11,2,rookie,C.J. Beathard,19.0,2491,QB,2.07,15,SF,12,2010
8,4,rookie,Cooper Kupp,20.0,2449,WR,2.08,15,LAR,12,2010
8,3,rookie,Taywan Taylor,20.0,2453,WR,2.08,15,TEN,12,2010
11,15,rookie,Marlon Mack,21.8,2469,RB,2.10,15,IND,12,2010
9,10,rookie,Mitch Trubisky,22.1,2461,QB,2.10,15,CHI,12,2010
11,8,rookie,Chris Godwin,24.0,2465,WR,2.12,15,TB,12,2010
7,10,rookie,Deshaun Watson,24.4,2444,QB,2.12,15,HOU,12,2010
7,11,rookie,Kenny Golladay,27.1,2488,WR,3.03,15,DET,12,2010
9,12,rookie,DeShone Kizer,27.7,2486,QB,3.04,15,CLE,12,2010
9,2,rookie,James Conner,28.5,2470,RB,3.05,15,PIT,12,2010
11,6,rookie,ArDarius Stewart,30.3,2457,WR,3.06,15,NYJ,12,2010
8,4,rookie,Dede Westbrook,31.0,2466,WR,3.07,15,JAC,12,2010
11,2,rookie,Joseph Williams,31.5,2463,RB,3.08,15,SF,12,2010
