adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
9448,0,0,0,0,5,1266,0,0,155,0,30,0,0,0,3,196.1,68.0
9054,0,0,0,0,9,1039,0,5,291,0,40,0,0,0,2,253.0,39.0
8658,0,0,0,0,0,75,0,0,18,0,2,0,0,0,0,11.3,188.0
9122,0,0,0,0,6,1038,1,4,808,1,102,0,0,0,2,346.6,10.0
9884,0,0,0,0,0,0,0,11,1619,1,111,0,0,0,0,340.9,11.0
11201,0,0,0,0,9,1139,0,4,427,0,42,0,0,0,2,272.6,32.0
9925,0,0,0,0,0,0,0,10,889,0,85,0,0,0,2,229.9,47.0
9823,0,0,0,0,0,0,0,16,1320,0,88,0,0,0,0,316.0,17.0
10261,0,0,0,0,0,2,0,6,959,0,61,0,0,0,1,191.1,71.0
10271,0,0,0,0,0,1,0,6,1593,0,104,0,0,0,1,297.4,24.0
8360,0,0,0,0,0,0,0,8,721,0,61,0,0,0,1,179.1,76.0
11174,0,0,0,0,8,1355,0,3,798,0,79,0,0,0,0,360.3,6.0
8670,0,0,0,0,13,1310,0,4,367,0,37,0,0,0,2,302.7,22.0
10302,0,0,0,0,13,1845,0,0,416,0,57,0,0,0,5,351.1,9.0
7836,38,4381,5,1,2,269,0,0,0,0,0,0,0,0,2,370.14,4.0
11193,0,0,0,0,5,672,0,1,293,0,36,0,0,0,0,168.5,84.0
4925,33,4952,17,0,1,68,0,0,1,0,1,0,0,0,3,371.98,3.0
9988,1,20,0,0,0,13,0,12,1570,1,122,0,1,0,2,361.1,5.0
9118,0,0,0,0,0,0,0,13,1519,0,98,0,0,0,0,327.9,15.0
10722,0,0,0,0,0,33,0,10,1133,0,85,0,0,0,0,261.6,36.0
11192,0,0,0,0,8,1355,0,3,798,0,79,0,0,0,0,360.3,6.0
10709,0,0,0,0,2,494,0,0,64,0,13,0,0,0,0,80.8,152.0
10308,0,0,0,0,0,37,0,12,1287,1,91,0,0,0,2,293.4,27.0
9902,0,0,0,0,0,0,0,12,1124,0,82,0,0,0,0,266.4,35.0
10372,0,0,0,0,0,0,0,12,489,0,43,0,0,0,0,163.9,91.0
11175,0,0,0,0,3,660,0,2,395,0,46,0,0,0,2,177.5,78.0
11222,0,0,0,0,0,0,0,4,783,0,77,0,0,0,2,175.3,82.0
10870,0,0,0,0,8,1074,0,0,155,0,17,0,0,0,0,187.9,72.0
9250,0,0,0,0,0,0,0,3,752,0,68,0,0,0,0,161.2,94.0
8243,0,0,0,0,9,1139,0,4,427,0,42,0,0,0,2,272.6,32.0
10695,40,4761,16,0,3,263,0,0,0,0,0,0,0,0,6,414.74,1.0
7873,0,0,0,0,0,7,0,6,1169,0,56,0,0,0,0,209.6,59.0
6931,0,0,0,0,0,-11,0,2,475,1,31,0,0,0,0,91.4,144.0
9431,22,4247,12,1,2,93,0,0,0,0,0,0,0,0,3,295.18,25.0
11225,0,0,0,0,1,117,0,1,384,0,33,0,0,0,1,93.1,143.0
7393,0,0,0,0,0,0,0,2,784,0,63,0,0,0,1,151.4,101.0
10303,0,0,0,0,2,395,0,3,447,0,53,0,0,0,0,167.2,87.0
9427,0,0,0,0,0,4,0,4,698,0,68,0,0,0,0,162.2,92.0
9441,0,0,0,0,0,0,0,10,1329,0,86,0,0,0,0,278.9,29.0
10721,0,0,0,0,0,2,0,6,841,0,47,0,0,0,1,165.3,88.0
10352,0,0,0,0,0,0,0,0,465,0,50,0,0,0,1,94.5,139.0
9075,0,0,0,0,0,7,0,6,1169,0,56,0,0,0,0,209.6,59.0
10729,0,0,0,0,0,20,0,7,1345,0,82,0,0,0,1,258.5,38.0
9662,0,0,0,0,0,94,0,4,972,0,92,0,1,0,0,228.6,48.0
10699,13,2163,10,0,0,68,0,0,0,0,0,0,0,0,3,159.32,95.0
8247,0,0,0,0,0,4,0,2,245,0,26,0,0,0,0,62.9,162.0
7653,0,0,0,0,0,0,0,5,962,0,74,0,0,0,0,200.2,65.0
10289,0,0,0,0,0,0,0,11,767,0,49,0,0,0,0,191.7,70.0
11653,0,0,0,0,2,572,0,0,133,0,18,0,0,0,2,96.5,134.0
5848,33,4109,9,0,0,57,0,0,0,0,0,0,0,0,3,314.06,18.0
9436,0,0,0,0,0,0,0,10,1329,0,86,0,0,0,0,278.9,29.0
9078,0,0,0,0,1,663,0,1,151,0,24,0,0,0,1,115.4,126.0
7877,0,0,0,0,4,1103,0,1,111,0,11,0,0,0,2,158.4,96.0
9099,28,4694,14,1,0,145,0,0,0,0,0,0,0,0,1,338.26,12.0
9918,0,0,0,0,0,44,0,9,1404,1,101,0,0,0,0,301.8,23.0
6997,0,0,0,0,0,0,0,5,691,0,63,0,0,0,0,162.1,93.0
10273,18,3127,12,1,5,539,0,0,0,0,0,0,0,0,5,292.98,28.0
10720,0,0,0,0,0,54,0,6,715,0,57,0,0,0,1,167.9,85.0
11670,0,0,0,0,0,8,0,6,982,0,65,0,0,0,1,198.0,67.0
9525,0,0,0,0,0,16,0,10,862,0,67,0,0,0,1,212.8,55.0
9881,0,0,0,0,0,0,0,5,962,0,74,0,0,0,0,200.2,65.0
11248,0,0,0,0,0,0,0,0,465,0,50,0,0,0,1,94.5,139.0
11674,0,0,0,0,1,73,0,3,550,0,53,0,0,0,0,139.3,110.0
10312,0,0,0,0,0,0,0,2,231,0,24,0,0,0,0,59.1,165.0
8931,0,0,0,0,0,12,0,1,27,0,6,0,0,0,0,15.9,184.0
10297,2,435,2,0,0,35,0,0,0,0,0,0,0,0,2,28.9,180.0
9831,0,0,0,0,0,30,0,4,1331,0,99,0,0,0,0,259.1,37.0
8687,0,0,0,0,0,0,0,6,1008,0,84,0,0,0,0,220.8,53.0
11211,0,0,0,0,0,0,0,8,633,0,38,0,0,0,0,149.3,102.0
