averagePick,draftsSelectedIn,id,maxPick,minPick,name,position,status,team,TEAM_COUNT,PPR_FLG
2.45,145,9448,13,1,"McCoy, LeSean",RB,,PHI,8,1
3.67,144,9054,15,1,"Charles, Jamaal",RB,,KCC,8,1
4.90,144,8658,33,1,"Peterson, Adrian",RB,,MIN,8,1
6.21,145,8657,17,1,"Johnson, Calvin",WR,,DET,8,1
6.63,140,3291,64,1,"Manning, Peyton",QB,,DEN,8,1
8.10,146,9122,68,1,"Forte, Matt",RB,,CHI,8,1
9.53,144,11201,33,2,"Lacy, Eddie",RB,,GBP,8,1
9.97,146,9884,48,3,"Thomas, Demaryius",WR,,DEN,8,1
10.70,148,9925,49,1,"Graham, Jimmy",TE,,NOS,8,1
11.69,140,4925,113,2,"Brees, Drew",QB,,NOS,8,1
12.16,140,7836,105,1,"Rodgers, Aaron",QB,,GBP,8,1
13.40,148,9823,65,3,"Bryant, Dez",WR,,DAL,8,1
14.22,148,10261,80,1,"Green, A.J.",WR,,CIN,8,1
15.28,145,8670,112,4,"Lynch, Marshawn",RB,,SEA,8,1
17.03,148,10271,97,3,"Jones, Julio",WR,,ATL,8,1
17.99,147,8360,115,4,"Marshall, Brandon",WR,,CHI,8,1
20.36,146,10302,51,4,"Murray, DeMarco",RB,,DAL,8,1
20.72,148,11174,117,1,"Ball, Montee",RB,,DEN,8,1
23.45,147,11193,71,2,"Bernard, Giovani",RB,,CIN,8,1
23.76,146,9118,62,9,"Nelson, Jordy",WR,,GBP,8,1
24.48,147,9988,63,5,"Brown, Antonio",WR,,PIT,8,1
25.49,147,10722,54,9,"Jeffery, Alshon",WR,,CHI,8,1
26.31,145,10372,67,3,"Thomas, Julius",TE,,DEN,8,1
28.26,144,10709,79,9,"Martin, Doug",RB,,TBB,8,1
29.18,138,10695,83,1,"Luck, Andrew",QB,,IND,8,1
29.20,147,9690,109,7,"Foster, Arian",RB,,HOU,8,1
29.44,138,9431,80,4,"Stafford, Matthew",QB,,DET,8,1
30.23,148,10308,119,12,"Cobb, Randall",WR,,GBP,8,1
30.61,147,11192,80,9,"Bell, Le'Veon",RB,,PIT,8,1
30.76,144,9902,215,8,"Gronkowski, Rob",TE,,NEP,8,1
36.60,146,11222,74,13,"Allen, Keenan",WR,,SDC,8,1
37.71,143,11189,101,4,"Stacy, Zac",RB,,STL,8,1
37.85,143,10870,154,9,"Morris, Alfred",RB,,WAS,8,1
37.97,146,11175,80,5,"Ellington, Andre",RB,,ARI,8,1
41.63,147,8243,106,6,"Bush, Reggie",RB,,DET,8,1
43.20,146,6931,94,11,"Johnson, Andre",WR,,HOU,8,1
44.17,145,9250,97,15,"Garcon, Pierre",WR,,WAS,8,1
44.41,146,10080,79,22,"Cruz, Victor",WR,,NYG,8,1
44.69,144,7873,104,10,"Jackson, Vincent",WR,,TBB,8,1
45.41,143,7393,108,18,"Fitzgerald, Larry",WR,,ARI,8,1
46.83,24,10773,80,5,"Kuechly, Luke",LB,,CAR,8,1
47.86,140,5848,131,2,"Brady, Tom",QB,,NEP,8,1
48.27,146,11225,90,9,"Patterson, Cordarrelle",WR,,MIN,8,1
48.57,23,10272,74,23,"Watt, J.J.",DE,,HOU,8,1
48.82,139,10699,135,4,"Foles, Nick",QB,,PHI,8,1
51.74,144,9822,160,15,"Spiller, C.J.",RB,,BUF,8,1
52.23,146,7839,125,22,"White, Roddy",WR,,ATL,8,1
52.25,142,8247,202,16,"Davis, Vernon",TE,,SFO,8,1
52.46,24,10768,102,9,"David, Lavonte",LB,,TBB,8,1
52.51,145,9427,100,17,"Crabtree, Michael",WR,,SFO,8,1
52.85,144,9441,111,16,"Harvin, Percy",WR,,NYJ,8,1
54.12,133,10352,122,17,"Cameron, Jordan",TE,,CLE,8,1
56.38,122,0515,116,6,"Seahawks, Seattle",Def,,SEA,8,1
56.48,144,9075,115,11,"Jackson, DeSean",WR,,WAS,8,1
59.00,23,10269,101,31,"Quinn, Robert",DE,,STL,8,1
60.14,144,10303,193,9,"Vereen, Shane",RB,,NEP,8,1
61.07,140,9099,179,3,"Ryan, Matt",QB,,ATL,8,1
62.57,141,9851,194,10,"Mathews, Ryan",RB,,SDC,8,1
63.33,142,10721,159,18,"Floyd, Michael",WR,,ARI,8,1
63.37,142,10729,161,17,"Hilton, T.Y.",WR,,IND,8,1
64.04,133,10273,150,13,"Newton, Cam",QB,,CAR,8,1
64.16,146,9880,195,3,"Gerhart, Toby",RB,,JAC,8,1
64.17,24,10772,119,21,"Burfict, Vontaze",LB,,CIN,8,1
65.55,143,7877,167,21,"Gore, Frank",RB,,SFO,8,1
67.25,24,8675,102,27,"Willis, Patrick",LB,,SFO,8,1
