plyrId,avgPick,draftCnt,totDrafts,pprFlg,year,firstNm,lastNm,pos,tm,adpRank,adpPlyrId,passTd,passYds,passInt,pass2pt,rushTd,rushYds,rush2pt,recTd,recYds,rec2pt,recRec,kRetTd,pRetTd,fumRecTd,fumLost,totScore,scoreRank
9988,2.42,722,718,0,2016,Antonio,Brown,WR,PIT,1.0,9988,0,0,0,0,0,9,0,12,1284,0,106,0,0,0,0,307.3,14.0
12150,4.36,705,718,0,2016,Todd,Gurley,RB,RAM,2.0,12150,0,0,0,0,6,885,0,0,327,0,43,0,0,0,1,198.2,70.0
11679,4.63,724,718,0,2016,Odell,Beckham,WR,NYG,3.0,11679,0,0,0,0,0,9,0,10,1367,0,101,0,0,0,1,296.6,21.0
10271,6.71,722,718,0,2016,Julio,Jones,WR,ATL,4.0,10271,0,0,0,0,0,0,0,6,1409,0,83,0,0,0,0,259.9,35.0
12171,6.9,704,718,0,2016,David,Johnson,RB,ARI,5.0,12171,0,0,0,0,16,1239,0,4,879,1,80,0,0,0,3,407.8,1.0
12625,8.28,723,718,0,2016,Ezekiel,Elliott,RB,DAL,6.0,12625,0,0,0,0,15,1631,0,1,363,0,32,0,0,0,1,325.4,9.0
8658,8.39,704,718,0,2016,Adrian,Peterson,RB,MIN,7.0,8658,0,0,0,0,0,72,0,0,8,0,3,0,0,0,1,9.0,224.0
11232,11.54,722,718,0,2016,DeAndre,Hopkins,WR,HOU,8.0,11232,0,0,0,0,0,0,0,4,954,0,78,0,0,0,0,197.4,72.0
10261,12.46,706,718,0,2016,A.J.,Green,WR,CIN,9.0,10261,0,0,0,0,0,0,0,4,964,0,66,0,0,0,0,186.4,85.0
11192,12.81,723,718,0,2016,Le'Veon,Bell,RB,PIT,10.0,11192,0,0,0,0,7,1268,0,2,616,1,75,0,0,0,1,317.4,11.0
9902,12.87,707,718,0,2016,Rob,Gronkowski,TE,NEP,11.0,9902,0,0,0,0,0,0,0,3,540,0,25,0,0,0,0,97.0,156.0
10273,14.07,683,718,0,2016,Cam,Newton,QB,CAR,12.0,10273,19,3509,14,1,5,359,1,0,0,0,0,0,0,0,2,306.26,15.0
10708,14.2,723,718,0,2016,Lamar,Miller,RB,HOU,13.0,10708,0,0,0,0,5,1073,0,1,188,0,31,0,0,0,1,191.1,80.0
11678,16.6,705,718,0,2016,Allen,Robinson,WR,JAC,14.0,11678,0,0,0,0,0,0,0,6,883,1,73,0,0,0,0,199.3,69.0
11660,16.92,723,718,0,2016,Devonta,Freeman,RB,ATL,15.0,11660,0,0,0,0,11,1079,0,2,462,0,54,0,0,0,1,284.1,30.0
7836,17.77,692,718,0,2016,Aaron,Rodgers,QB,GBP,16.0,7836,40,4428,7,1,4,369,1,0,0,0,0,0,0,0,4,404.02,2.0
9823,18.2,723,718,0,2016,Dez,Bryant,WR,DAL,17.0,9823,1,10,0,0,0,0,0,8,796,0,50,0,0,0,1,180.0,92.0
11201,21.52,705,718,0,2016,Eddie,Lacy,RB,GBP,18.0,11201,0,0,0,0,0,360,0,0,28,0,4,0,0,0,0,42.8,196.0
9118,22.05,723,718,0,2016,Jordy,Nelson,WR,GBP,19.0,9118,0,0,0,0,0,0,0,14,1257,0,97,0,0,0,1,304.7,16.0
9054,23.87,706,718,0,2016,Jamaal,Charles,RB,KCC,20.0,9054,0,0,0,0,1,40,0,0,14,0,2,0,0,0,0,13.4,220.0
11671,25.28,707,718,0,2016,Mike,Evans,WR,TBB,21.0,11671,0,0,0,0,0,0,0,12,1321,2,96,0,0,0,0,304.1,17.0
8360,25.93,705,718,0,2016,Brandon,Marshall,WR,NYJ,22.0,8360,0,0,0,0,0,0,0,3,787,0,60,0,0,0,0,156.7,107.0
10276,25.93,707,718,0,2016,Mark,Ingram,RB,NOS,23.0,10276,0,0,0,0,6,1044,2,4,319,0,46,0,0,0,2,242.3,43.0
10709,26.47,706,718,0,2016,Doug,Martin,RB,TBB,24.0,10709,0,0,0,0,3,421,0,0,134,0,14,0,0,0,1,85.5,169.0
9448,26.87,707,718,0,2016,LeSean,McCoy,RB,BUF,25.0,9448,0,0,0,0,13,1267,1,1,356,0,51,0,0,0,0,299.3,19.0
12175,27.0,721,718,0,2016,Amari,Cooper,WR,OAK,26.0,12175,0,0,0,0,0,0,0,5,1149,2,82,0,0,0,0,230.9,50.0
11222,28.7,704,718,0,2016,Keenan,Allen,WR,SDC,27.0,11222,0,0,0,0,0,0,0,0,63,0,6,0,0,0,0,12.3,221.0
10722,31.32,706,718,0,2016,Alshon,Jeffery,WR,CHI,28.0,10722,0,0,0,0,0,0,0,2,821,0,52,0,0,0,0,146.1,118.0
10695,32.34,682,718,0,2016,Andrew,Luck,QB,IND,29.0,10695,31,4240,13,2,2,341,0,0,0,0,0,0,0,0,5,351.7,5.0
11674,32.84,706,718,0,2016,Brandin,Cooks,WR,NOS,30.0,11674,0,0,0,0,0,30,0,8,1173,0,78,0,0,0,0,246.3,41.0
10703,33.12,693,718,0,2016,Russell,Wilson,QB,SEA,31.0,10703,21,4219,11,1,1,259,0,1,14,0,2,0,0,0,3,308.06,13.0
10729,33.29,707,718,0,2016,T.Y.,Hilton,WR,IND,32.0,10729,0,0,0,0,0,0,0,6,1448,1,91,0,0,0,0,273.8,31.0
11454,34.48,706,718,0,2016,C.J.,Anderson,RB,DEN,33.0,11454,0,0,0,0,4,437,0,1,128,0,16,0,0,0,0,102.5,148.0
11670,34.66,705,718,0,2016,Sammy,Watkins,WR,BUF,34.0,11670,0,0,0,0,0,0,0,2,430,0,28,0,0,0,0,83.0,171.0
12169,36.8,722,718,0,2016,Thomas,Rawls,RB,SEA,35.0,12169,0,0,0,0,3,349,0,0,96,0,13,0,0,0,0,75.5,178.0
9884,39.75,706,718,0,2016,Demaryius,Thomas,WR,DEN,36.0,9884,0,0,0,0,0,0,0,5,1083,0,90,0,0,0,2,224.3,54.0
11390,40.97,723,718,0,2016,Latavius,Murray,RB,OAK,37.0,11390,0,0,0,0,12,788,0,0,264,0,33,0,0,0,1,208.2,63.0
10308,42.46,721,718,0,2016,Randall,Cobb,WR,GBP,38.0,10308,0,0,0,0,0,33,0,4,610,0,60,0,0,0,0,148.3,113.0
11657,43.48,705,718,0,2016,Carlos,Hyde,RB,SFO,39.0,11657,0,0,0,0,6,988,1,3,163,0,27,0,0,0,3,192.1,78.0
11248,43.65,705,718,0,2016,Jordan,Reed,TE,WAS,40.0,11248,0,0,0,0,0,0,0,6,686,0,66,0,0,0,1,168.6,99.0
4925,44.37,684,718,0,2016,Drew,Brees,QB,NOS,41.0,4925,37,5207,15,0,2,20,0,0,0,0,0,0,0,0,4,392.28,3.0
10302,45.24,706,718,0,2016,DeMarco,Murray,RB,TEN,42.0,10302,1,10,0,0,9,1287,0,3,377,0,53,0,0,0,1,293.8,24.0
9122,45.81,702,718,0,2016,Matt,Forte,RB,NYJ,43.0,9122,0,0,0,0,7,813,0,1,263,0,30,0,0,0,1,183.6,88.0
11673,46.85,705,718,0,2016,Kelvin,Benjamin,WR,CAR,44.0,11673,0,0,0,0,0,0,0,7,941,0,63,0,0,0,1,197.1,73.0
11680,47.06,720,718,0,2016,Jarvis,Landry,WR,MIA,45.0,11680,0,0,0,0,0,17,0,4,1138,1,94,0,0,0,2,231.5,49.0
11654,47.59,705,718,0,2016,Jeremy,Hill,RB,CIN,46.0,11654,0,0,0,0,9,839,0,0,174,0,21,0,0,0,0,176.3,93.0
7401,48.77,693,718,0,2016,Ben,Roethlisberger,QB,PIT,47.0,7401,29,3819,13,3,1,14,0,0,0,0,0,0,0,0,2,292.16,26.0
8687,51.01,702,718,0,2016,Greg,Olsen,TE,CAR,48.0,8687,0,0,0,0,0,0,0,3,1073,1,80,0,0,0,0,207.3,64.0
9662,51.62,721,718,0,2016,Julian,Edelman,WR,NEP,49.0,9662,0,0,0,0,0,57,0,3,1106,1,98,0,0,0,2,230.3,51.0
10527,52.57,721,718,0,2016,Doug,Baldwin,WR,SEA,50.0,10527,1,15,0,0,0,2,0,7,1128,0,94,0,0,0,0,253.6,37.0
12156,55.59,697,718,0,2016,Jeremy,Langford,RB,CHI,51.0,12156,0,0,0,0,9,839,0,0,174,0,21,0,0,0,0,176.3,93.0
9436,56.69,712,718,0,2016,Jeremy,Maclin,WR,KCC,52.0,9436,0,0,0,0,0,-1,0,2,536,0,44,0,0,0,0,109.5,142.0
9101,57.14,702,718,0,2016,Jonathan,Stewart,RB,CAR,53.0,9101,0,0,0,0,9,824,0,0,60,0,8,0,0,0,2,146.4,117.0
5848,57.91,693,718,0,2016,Tom,Brady,QB,NEP,54.0,5848,28,3554,2,1,0,64,0,0,0,0,0,0,0,0,0,262.56,34.0
11677,58.17,702,718,0,2016,Donte,Moncrief,WR,IND,55.0,11677,0,0,0,0,0,-1,0,7,307,0,30,0,0,0,0,102.6,147.0
9831,58.83,718,718,0,2016,Golden,Tate,WR,DET,56.0,9831,0,0,0,0,0,4,0,4,1077,0,91,0,0,0,1,221.1,55.0
12151,61.56,701,718,0,2016,Melvin,Gordon,RB,SDC,57.0,12151,0,0,0,0,10,997,0,2,419,0,41,0,0,0,2,250.6,39.0
9881,61.98,697,718,0,2016,Eric,Decker,WR,NYJ,58.0,9881,0,0,0,0,0,0,0,2,194,0,9,0,0,0,0,40.4,198.0
10721,62.3,715,718,0,2016,Michael,Floyd,WR,NEP,59.0,10721,0,0,0,0,0,0,0,5,488,0,37,0,0,0,0,115.8,140.0
9851,66.01,696,718,0,2016,Ryan,Mathews,RB,PHI,60.0,9851,0,0,0,0,0,283,0,0,94,0,17,0,0,0,0,54.7,190.0
6929,66.7,679,718,0,2016,Carson,Palmer,QB,ARI,61.0,6929,26,4237,14,1,0,38,0,0,0,0,0,0,0,0,4,295.28,23.0
11244,66.73,710,718,0,2016,Travis,Kelce,TE,KCC,62.0,11244,0,0,0,0,0,-5,0,4,1125,0,85,0,0,0,0,221.0,56.0
7393,70.55,700,718,0,2016,Larry,Fitzgerald,WR,ARI,63.0,7393,0,0,0,0,0,1,0,6,1028,0,108,0,0,0,1,244.9,42.0
9690,73.4,690,718,0,2016,Arian,Foster,RB,FA,64.0,9690,0,0,0,0,0,24,0,0,2,0,1,0,0,0,0,3.6,227.0
11642,73.64,680,718,0,2016,Blake,Bortles,QB,JAC,65.0,11642,23,3905,16,1,3,359,1,1,20,0,1,0,0,0,6,331.1,8.0
12162,74.07,694,718,0,2016,Matt,Jones,RB,WAS,66.0,12162,0,0,0,0,3,460,0,0,73,0,8,0,0,0,2,75.3,179.0
11925,78.31,697,718,0,2016,Allen,Hurns,WR,JAC,67.0,11925,0,0,0,0,0,0,0,3,477,0,35,0,0,0,0,100.7,151.0
11676,78.57,692,718,0,2016,Jordan,Matthews,WR,PHI,68.0,11676,0,0,0,0,0,0,0,3,804,0,73,0,0,0,0,171.4,96.0
12157,78.63,688,718,0,2016,Duke,Johnson,RB,CLE,69.0,12157,0,0,0,0,1,366,0,0,514,0,53,0,0,0,1,145.0,120.0
8416,79.46,679,718,0,2016,Delanie,Walker,TE,TEN,70.0,8416,0,0,0,0,0,11,0,7,800,0,65,0,0,0,0,188.1,84.0
7391,81.01,685,718,0,2016,Eli,Manning,QB,NYG,71.0,7391,26,4027,16,0,0,-9,0,0,0,0,0,0,0,0,4,288.18,28.0
9918,81.26,693,718,0,2016,Emmanuel,Sanders,WR,DEN,73.0,9918,0,0,0,0,0,4,0,5,1032,0,79,0,0,0,0,212.6,60.0
11193,81.37,697,718,0,2016,Giovani,Bernard,RB,CIN,74.0,11193,0,0,0,0,2,337,0,1,336,0,39,0,0,0,1,122.3,137.0
7877,81.91,692,718,0,2016,Frank,Gore,RB,IND,75.0,7877,0,0,0,0,4,1026,0,4,277,0,38,0,0,0,1,214.3,58.0
12187,83.89,692,718,0,2016,Tyler,Lockett,WR,SEA,76.0,12187,0,0,0,0,1,114,0,1,597,0,41,0,0,0,0,124.1,136.0
